#   N_BLOCK:  ACCEPTANCE:
           1   0.0483943
           2     0.04883
           3   0.0483153
           4   0.0477303
           5   0.0476812
           6    0.047122
           7   0.0471411
           8   0.0470675
           9   0.0472447
          10   0.0470802
          11   0.0471773
          12    0.047235
          13   0.0472243
          14   0.0473341
          15   0.0472225
          16   0.0472385
          17   0.0472609
          18   0.0472451
          19   0.0472003
          20   0.0472533
