#   N_BLOCK:  ACCEPTANCE:
           1    0.231371
           2    0.231326
           3    0.231321
           4    0.231302
           5    0.231268
           6    0.231193
           7    0.231164
           8    0.231151
           9    0.231075
          10    0.231102
          11    0.231106
          12    0.231074
          13     0.23112
          14    0.231201
          15    0.231208
          16    0.231166
          17    0.231188
          18    0.231243
          19    0.231221
          20    0.231211
