#   N_BLOCK:  ACCEPTANCE:
           1       0.513
           2    0.512921
           3    0.513099
           4    0.513042
           5    0.513025
           6    0.513006
           7     0.51295
           8    0.512963
           9    0.512909
          10     0.51294
          11    0.512999
          12    0.513019
          13    0.513006
          14    0.513007
          15    0.513033
          16    0.513037
          17    0.513059
          18    0.513076
          19    0.513085
          20    0.513094
