#   N_BLOCK:  ACCEPTANCE:
           1    0.412054
           2    0.412137
           3    0.412108
           4    0.412084
           5      0.4121
           6    0.412143
           7    0.412171
           8    0.412184
           9    0.412196
          10    0.412209
          11    0.412218
          12     0.41221
          13    0.412191
          14    0.412233
          15    0.412227
          16    0.412188
          17    0.412157
          18    0.412174
          19    0.412165
          20    0.412163
