#   N_BLOCK:  ACCEPTANCE:
           1     0.27275
           2    0.272375
           3    0.272342
           4    0.272283
           5    0.272443
           6    0.272541
           7    0.272477
           8    0.272613
           9    0.272548
          10    0.272569
          11    0.272653
          12    0.272649
          13    0.272633
          14     0.27266
          15    0.272746
          16    0.272723
          17    0.272686
          18    0.272734
          19    0.272703
          20    0.272722
