#   N_BLOCK:  ACCEPTANCE:
           1    0.312216
           2    0.311845
           3     0.31182
           4    0.311906
           5    0.311981
           6    0.312096
           7    0.312027
           8    0.312066
           9    0.312039
          10     0.31197
          11    0.312013
          12    0.311954
          13    0.311924
          14    0.311917
          15    0.311931
          16    0.311905
          17    0.311868
          18    0.311892
          19    0.311886
          20    0.311857
