#   N_BLOCK:  ACCEPTANCE:
           1    0.381516
           2    0.381552
           3    0.381427
           4     0.38144
           5    0.381428
           6    0.381458
           7     0.38143
           8    0.381519
           9    0.381456
          10     0.38152
          11     0.38155
          12    0.381501
          13    0.381452
          14    0.381496
          15    0.381474
          16     0.38144
          17    0.381452
          18    0.381473
          19     0.38148
          20    0.381488
