#   N_BLOCK:  ACCEPTANCE:
           1    0.533587
           2     0.53344
           3    0.533596
           4    0.533496
           5    0.533523
           6    0.533502
           7    0.533485
           8    0.533458
           9    0.533476
          10    0.533537
          11    0.533586
          12    0.533595
          13    0.533588
          14    0.533602
          15    0.533609
          16    0.533618
          17    0.533633
          18    0.533638
          19    0.533639
          20    0.533665
