#   N_BLOCK:  ACCEPTANCE:
           1    0.466869
           2    0.466636
           3    0.466884
           4     0.46675
           5    0.466763
           6     0.46672
           7    0.466687
           8    0.466676
           9    0.466665
          10    0.466692
          11    0.466721
          12    0.466711
          13    0.466716
          14     0.46674
          15    0.466716
          16    0.466685
          17    0.466669
          18    0.466673
          19    0.466663
          20     0.46666
