#   N_BLOCK:  ACCEPTANCE:
           1     0.34817
           2    0.347988
           3    0.347731
           4    0.347655
           5    0.347718
           6    0.347811
           7    0.347851
           8    0.347965
           9    0.347964
          10    0.347987
          11     0.34801
          12    0.347953
          13    0.347925
          14    0.347988
          15    0.347987
          16    0.347972
          17    0.347956
          18    0.347995
          19    0.347997
          20    0.347998
