#   N_BLOCK:  ACCEPTANCE:
           1   0.0925726
           2   0.0935379
           3   0.0936205
           4    0.093381
           5   0.0936666
           6   0.0934913
           7   0.0932831
           8   0.0932376
           9   0.0932997
          10   0.0932319
          11   0.0934167
          12   0.0933895
          13      0.0934
          14   0.0935051
          15   0.0934691
          16   0.0935854
          17   0.0935649
          18   0.0936196
          19   0.0936234
          20   0.0937358
