#   N_BLOCK:  ACCEPTANCE:
           1    0.141026
           2    0.140546
           3    0.140994
           4    0.140945
           5    0.141216
           6    0.141252
           7    0.140979
           8    0.140968
           9    0.140829
          10    0.140843
          11    0.140966
          12    0.140966
          13    0.141037
          14    0.141136
          15    0.141141
          16    0.141199
          17    0.141118
          18    0.141116
          19    0.141091
          20    0.141139
