#   N_BLOCK:  ACCEPTANCE:
           1   0.0148457
           2   0.0139125
           3   0.0139559
           4   0.0137776
           5   0.0137601
           6    0.013705
           7   0.0136059
           8   0.0135985
           9   0.0135532
          10   0.0134785
          11   0.0135098
          12   0.0134781
          13   0.0134102
          14   0.0134385
          15   0.0134226
          16   0.0134876
          17   0.0134961
          18    0.013525
          19   0.0135431
          20   0.0135898
