#   N_BLOCK:  ACCEPTANCE:
           1    0.440501
           2    0.440225
           3    0.440268
           4    0.440205
           5    0.440257
           6    0.440319
           7    0.440328
           8    0.440338
           9     0.44034
          10     0.44038
          11    0.440446
          12    0.440415
          13    0.440438
          14    0.440463
          15    0.440445
          16    0.440427
          17    0.440424
          18    0.440442
          19    0.440448
          20     0.44046
