#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
       191                   8             17.0965            0.878675
       192                2.88             17.0225            0.877212
       193                5.12             16.9608            0.874832
       194                0.72             16.8771            0.874319
       195                2.88             16.8053            0.872777
       196                5.12             16.7457            0.870358
       197                9.68             16.7098            0.866679
       198                  18             16.7164            0.862326
       199               25.92             16.7626            0.859232
       200               28.88             16.8232            0.857069
       201               25.92             16.8685            0.853999
       202                6.48              16.817            0.851319
       203                6.48             16.7661            0.848647
       204               20.48             16.7843            0.844682
       205               20.48             16.8023            0.840754
       206                9.68             16.7678            0.837383
       207               13.52             16.7521            0.833485
       208                6.48             16.7027            0.830939
       209                9.68             16.6691            0.827643
       210                9.68             16.6358             0.82437
       211                3.92             16.5755            0.822663
       212                5.12             16.5215            0.820556
       213                6.48             16.4744            0.818056
       214                5.12             16.4213            0.815952
       215                5.12             16.3687            0.813849
       216                6.48              16.323            0.811367
       217                3.92             16.2658            0.809639
       218                   8             16.2279            0.806813
       219                0.72             16.1571             0.80623
       220                   0             16.0836            0.805903
       221                0.32             16.0123            0.805407
       222                0.72             15.9434            0.804719
       223                0.08             15.8723            0.804249
       224                1.28             15.8071            0.803293
       225                0.72             15.7401            0.802516
       226                2.88             15.6832             0.80098
       227                   2             15.6229            0.799716
       228               11.52             15.6049            0.796411
       229                9.68              15.579            0.793354
       230               13.52             15.5701            0.789955
       231                   8             15.5373            0.787214
       232                6.48             15.4983            0.784789
       233                9.68             15.4733            0.781818
       234                   8             15.4414            0.779129
       235                   8             15.4097            0.776456
       236                9.68             15.3854            0.773546
       237               11.52             15.3691            0.770454
       238                2.88             15.3166            0.769002
       239                3.92              15.269            0.767261
       240                6.48             15.2323            0.764938
       241                9.68             15.2093             0.76211
       242                   8             15.1795            0.759543
       243                5.12             15.1381            0.757545
       244                5.12              15.097            0.755552
       245                3.92             15.0514            0.753844
       246                3.92             15.0062            0.752137
       247                1.28             14.9506            0.751142
       248                3.92             14.9061            0.749429
       249               13.52             14.9006            0.746439
       250                  18              14.913            0.743557
       251                9.68             14.8921            0.740887
       252               13.52             14.8867            0.737966
       253               11.52             14.8734             0.73517
       254               13.52              14.868            0.732295
       255               13.52             14.8627            0.729442
       256               11.52             14.8497            0.726709
       257                6.48             14.8171            0.724611
       258                0.08               14.76             0.72405
       259                   0              14.703            0.723494
       260                0.32             14.6477            0.722823
       261                   0             14.5916            0.722229
       262                   0             14.5359            0.721617
       263                0.08             14.4809            0.720963
       264                0.32             14.4273            0.720225
       265                1.28             14.3777            0.719214
       266               23.12             14.4105            0.717261
       267               20.48             14.4333            0.714934
       268                   8             14.4093             0.71267
       269                5.12             14.3747            0.710856
       270                   2             14.3289              0.7097
       271                0.72             14.2787            0.708855
       272                0.72             14.2288               0.708
       273                1.28             14.1814            0.706993
       274                0.08             14.1299            0.706284
       275                3.92             14.0928             0.70469
       276                9.68             14.0768            0.702319
       277                   2             14.0332            0.701135
       278                9.68             14.0176            0.698788
       279                2.88             13.9776            0.697423
       280                   2             13.9349            0.696242
       281                5.12             13.9035            0.694471
       282                   8             13.8826            0.692324
       283                2.88             13.8437            0.690968
       284                3.92             13.8087            0.689418
       285                3.92              13.774            0.687872
       286                3.92             13.7396            0.686329
       287                6.48             13.7143            0.684404
       288                6.48             13.6892            0.682488
       289                3.92             13.6554            0.680963
       290                5.12             13.6259            0.679251
       291                   2              13.586             0.67809
       292                   2             13.5463            0.676928
       293                2.88             13.5099            0.675596
       294                   2             13.4707            0.674431
       295                1.28             13.4294             0.67341
       296                1.28             13.3884            0.672385
       297                   2               13.35            0.671213
       298                1.28             13.3095            0.670182
       299                0.32             13.2661            0.669347
       300                0.08             13.2221            0.668557
       301                0.08             13.1785             0.66776
       302                0.32             13.1359            0.666905
       303                   0             13.0925            0.666112
       304                0.72             13.0518            0.665163
       305                1.28             13.0132            0.664101
       306                1.28             12.9749            0.663037
       307                   8             12.9587            0.661075
       308                5.12             12.9332            0.659418
       309                3.92             12.9041            0.657929
       310                2.88             12.8717            0.656601
       311                   0             12.8304            0.655793
       312                0.72             12.7915            0.654838
       313                0.08             12.7509            0.654004
       314                0.32             12.7113            0.653119
       315                1.28              12.675            0.652053
       316                0.32             12.6359             0.65116
       317                0.08             12.5963             0.65031
       318                0.32             12.5577             0.64941
       319                0.08             12.5186            0.648551
       320                0.08             12.4797            0.647688
       321                1.28             12.4449            0.646609
       322                   0             12.4062            0.645755
       323                3.92             12.3799             0.64429
       324                9.68             12.3716            0.642356
       325               13.52             12.3751            0.640389
       326               28.88             12.4258            0.640423
       327               23.12             12.4585            0.639299
       328               23.12              12.491            0.638175
       329               11.52              12.488            0.636242
       330               13.52             12.4912            0.634322
       331               13.52             12.4943            0.632413
       332                6.48             12.4761            0.630768
       333                2.88             12.4473            0.629532
       334                   0             12.4101            0.628749
       335                   0              12.373            0.627962
       336                   2             12.3421            0.626852
       337                   0             12.3055            0.626061
       338                0.72             12.2712            0.625146
       339                   0              12.235            0.624349
       340                   2             12.2049            0.623238
       341                2.88             12.1776             0.62201
       342                5.12              12.157            0.620534
       343                6.48             12.1404            0.618945
       344               11.52             12.1386            0.617148
       345                   8             12.1266            0.615476
       346                9.68             12.1195            0.613738
       347               15.68             12.1298            0.612055
       348                  18             12.1467            0.610529
       349               13.52             12.1506            0.608792
       350                9.68             12.1435            0.607094
       351                6.48             12.1274            0.605578
       352                   8             12.1157            0.603971
       353                5.12             12.0959            0.602585
       354                2.88             12.0698            0.601445
       355                3.92             12.0469            0.600189
       356                   8             12.0355            0.598611
       357               11.52             12.0341            0.596936
       358                   8             12.0228            0.595375
       359                6.48             12.0074            0.593916
       360                5.12             11.9882            0.592575
       361                1.28             11.9586            0.591675
       362                0.08             11.9257             0.59095
       363                0.72             11.8949            0.590128
       364                2.88             11.8701            0.589026
       365                1.28             11.8411            0.588126
       366                   2             11.8142            0.587134
       367                0.08             11.7822            0.586404
       368                0.08             11.7504            0.585672
       369                1.28             11.7221            0.584772
       370                0.72             11.6923            0.583947
       371                   0             11.6608            0.583223
       372                0.72             11.6314            0.582396
       373                0.08             11.6004            0.581657
       374                   2             11.5748            0.580668
       375                5.12             11.5575            0.579375
       376                1.28             11.5302            0.578478
       377                0.32             11.5005            0.577708
       378                0.08             11.4703            0.576969
       379                0.08             11.4402            0.576229
       380                0.32             11.4109            0.575455
       381                   8              11.402            0.574014
       382                6.48             11.3891            0.572656
       383                6.48             11.3763            0.571304
       384                9.68             11.3719            0.569834
       385                9.68             11.3675            0.568371
       386               11.52             11.3679            0.566898
       387               13.52             11.3734            0.565461
       388               20.48             11.3969             0.56449
       389               13.52             11.4024            0.563065
       390                3.92             11.3832            0.561948
       391                6.48             11.3706            0.560651
       392                6.48             11.3582             0.55936
       393               15.68             11.3692            0.558044
       394                   8             11.3606            0.556694
       395                9.68             11.3564            0.555301
       396                0.72             11.3295            0.554547
       397                0.32             11.3018            0.553844
       398                0.32             11.2742            0.553139
       399                1.28             11.2491            0.552319
       400                   0              11.221            0.551654
       401                   0              11.193            0.550988
       402                   2             11.1701            0.550091
       403                1.28             11.1456            0.549274
       404                0.32             11.1188            0.548567
       405                2.88             11.0985             0.54759
       406                   2             11.0761            0.546699
       407                2.88             11.0559            0.545727
       408               13.52              11.062            0.544423
       409                   2             11.0398            0.543542
       410                3.92             11.0224            0.542494
       411                3.92             11.0052            0.541449
       412                6.48             10.9942            0.540246
       413                9.68              10.991            0.538948
       414               13.52             10.9971             0.53768
       415                9.68             10.9939            0.536394
       416                   8             10.9867            0.535153
       417                3.92             10.9698            0.534138
       418               13.52             10.9759            0.532895
       419                  18             10.9926            0.531887
       420                  18             11.0093            0.530882
       421               23.12             11.0381              0.5304
       422                  18             11.0546            0.529399
       423               20.48             11.0769            0.528617
       424               23.12             11.1053            0.528132
       425               35.28             11.1622            0.529944
       426                  18             11.1782            0.528943
       427               28.88             11.2197            0.529326
       428               35.28             11.2759            0.531066
       429               38.72             11.3399            0.533668
       430               35.28             11.3955            0.535323
       431                  50             11.4851            0.541522
       432                  50             11.5743            0.547559
       433               42.32             11.6453            0.550879
       434                  50             11.7336            0.556653
       435               46.08             11.8126            0.560945
       436               28.88             11.8517            0.561023
       437                  32             11.8978            0.561631
       438                  32             11.9437             0.56222
       439               23.12             11.9692            0.561516
       440               15.68             11.9776            0.560303
       441                3.92             11.9594             0.55933
       442                9.68             11.9542            0.558089
       443                   8             11.9453              0.5569
       444                6.48              11.933            0.555782
       445               13.52             11.9365            0.554544
       446               13.52             11.9401            0.553312
       447               11.52             11.9391            0.552075
       448                9.68             11.9341            0.550866
       449               28.88             11.9718            0.550931
       450               35.28             12.0236            0.552136
       451                  32             12.0679            0.552685
