#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.03591    -5.03591           0
           2    -5.04402    -5.03997  0.00286899
           3    -5.06158    -5.04717  0.00618465
           4    -5.04106    -5.04564  0.00482318
           5    -5.05736    -5.04799  0.00439096
           6    -5.04879    -5.04812  0.00366118
           7    -5.03728    -5.04657  0.00345028
           8    -5.06699    -5.04912  0.00384883
           9    -5.04903    -5.04911  0.00342119
          10    -5.04894     -5.0491  0.00307912
          11    -5.03174    -5.04752  0.00317784
          12    -5.06949    -5.04935   0.0033998
          13    -5.05817    -5.05003  0.00320531
          14    -5.03859    -5.04921  0.00307879
          15    -5.05381    -5.04952  0.00288876
          16      -5.043    -5.04911  0.00273678
          17    -5.06847    -5.05025  0.00280265
          18    -5.04807    -5.05013  0.00264955
          19      -5.035    -5.04933  0.00262693
          20    -5.02823    -5.04828  0.00269921
          21    -5.04552    -5.04814  0.00257386
          22    -5.03433    -5.04752  0.00253232
          23    -5.03726    -5.04707  0.00246118
          24    -5.06576    -5.04785  0.00247881
          25    -5.07577    -5.04897  0.00261911
          26    -5.06749    -5.04968  0.00261345
          27    -5.03048    -5.04897   0.0026116
          28    -5.04991      -5.049  0.00251855
          29    -5.03401    -5.04848  0.00248421
          30     -5.0358    -5.04806  0.00243713
          31    -5.01939    -5.04714  0.00252789
          32    -5.03167    -5.04665  0.00249466
          33    -5.04825     -5.0467  0.00241953
          34    -5.05594    -5.04697  0.00236357
          35    -5.07276    -5.04771  0.00240814
          36    -5.05494    -5.04791   0.0023496
          37    -5.04138    -5.04773  0.00229272
          38    -5.06122    -5.04809   0.0022597
          39    -5.05942    -5.04838  0.00222035
          40    -5.02809    -5.04787  0.00222203
          41    -5.05239    -5.04798  0.00217056
          42    -5.03089    -5.04758   0.0021567
          43    -5.04127    -5.04743  0.00211153
          44    -5.03396    -5.04712  0.00208562
          45    -5.03879    -5.04694  0.00204748
          46    -5.03307    -5.04664  0.00202504
          47    -5.03329    -5.04635  0.00200178
          48    -5.06892    -5.04682  0.00201451
          49    -5.03838    -5.04665  0.00198076
          50    -5.05537    -5.04682  0.00194881
