#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
       191                0.32             12.3116            0.980889
       192                5.12             12.2742            0.976496
       193                2.88             12.2255            0.972648
       194                1.28             12.1691             0.96927
       195                1.28             12.1132            0.965906
       196                   2             12.0616            0.962355
       197                0.08             12.0008             0.95939
       198                0.72             11.9438            0.956235
       199                0.72             11.8874            0.953092
       200                0.08             11.8284            0.950153
       201                   0             11.7696            0.947247
       202                1.28             11.7176             0.94398
       203                2.88             11.6741            0.940333
       204                0.72             11.6204            0.937255
       205                3.92             11.5828            0.933436
       206                1.28             11.5328            0.930243
       207                3.92              11.496            0.926476
       208                5.12             11.4654            0.922529
       209                0.32             11.4121            0.919655
       210                2.88             11.3714            0.916172
       211                0.32             11.3191            0.913326
       212                0.08              11.266            0.910556
       213                0.72             11.2165            0.907626
       214                0.08             11.1645            0.904875
       215                   2             11.1219             0.90167
       216                   8             11.1074            0.897611
       217                6.48             11.0861            0.893728
       218                5.12             11.0587            0.890047
       219                5.12             11.0316            0.886396
       220                6.48             11.0109            0.882609
       221               11.52             11.0132            0.878618
       222               13.52             11.0245            0.874733
       223                9.68             11.0185            0.870831
       224               11.52             11.0207            0.866946
       225                   8             11.0073            0.863197
       226                2.88             10.9713            0.860126
       227                1.28             10.9286            0.857396
       228                2.88             10.8933            0.854362
       229                   2             10.8545            0.851513
       230                6.48             10.8355            0.848023
       231                   8             10.8232            0.844441
       232               11.52             10.8262            0.840807
       233               11.52             10.8292            0.837203
       234                  18             10.8598            0.834186
       235               20.48             10.9008             0.83164
       236               20.48             10.9414            0.829106
       237                  18             10.9711            0.826143
       238                9.68             10.9657            0.822689
       239               11.52              10.968            0.819251
       240               15.68             10.9877            0.816072
       241               13.52             10.9982            0.812754
       242                9.68             10.9927            0.809413
       243                9.68             10.9873            0.806101
       244                1.28             10.9475            0.803778
       245                6.48             10.9293            0.800704
       246               11.52             10.9317            0.797453
       247                  18             10.9603            0.794737
       248               15.68             10.9794            0.791761
       249               20.48             11.0175              0.7895
       250               23.12             11.0659            0.787825
       251               23.12             11.1139            0.786148
       252               25.92             11.1727            0.785221
       253               23.12             11.2199            0.783536
       254               25.92             11.2778            0.782586
       255                  18             11.3042            0.779961
       256               15.68             11.3212            0.777101
       257                9.68             11.3149            0.774104
       258                5.12             11.2909            0.771476
       259                3.92             11.2624            0.769022
       260                6.48              11.244            0.766284
       261                2.88              11.212            0.764018
       262                1.28              11.174            0.762041
       263                0.32             11.1328            0.760261
       264                0.72             11.0933            0.758403
       265                2.88             11.0623            0.756174
       266                0.32              11.022            0.754409
       267                   0             10.9807            0.752712
       268                0.32             10.9409            0.750954
       269                0.08             10.9005            0.749247
       270                1.28             10.8649            0.747319
       271                2.88             10.8354            0.745142
       272                   2             10.8029             0.74311
       273                   0             10.7634            0.741441
       274                2.88             10.7346            0.739293
       275                   2             10.7028            0.737287
       276                3.92             10.6783            0.735025
       277                6.48             10.6631            0.732527
       278                6.48             10.6481            0.730047
       279                3.92             10.6239            0.727829
       280                5.12             10.6043            0.725495
       281                   2             10.5737            0.723559
       282                0.72             10.5387            0.721836
       283                1.28              10.506            0.720026
       284                1.28             10.4735            0.718224
       285                1.28             10.4413            0.716427
       286                0.72             10.4073            0.714728
       287                0.72             10.3735            0.713035
       288                0.08             10.3378            0.711454
       289                0.32             10.3031            0.709836
       290                0.32             10.2687            0.708223
       291                0.72             10.2359            0.706549
       292                0.08             10.2011            0.704985
       293                0.32             10.1674            0.703385
       294                1.28             10.1371            0.701641
       295                2.88             10.1125            0.699694
       296                2.88             10.0881            0.697757
       297                5.12             10.0714            0.695608
       298                5.12             10.0548            0.693472
       299                9.68             10.0535            0.691154
       300               11.52             10.0584            0.688867
       301                   8             10.0516            0.686613
       302                6.48             10.0397            0.684441
       303                9.68             10.0385            0.682183
       304               13.52               10.05            0.680035
       305               11.52             10.0548            0.677823
       306               11.52             10.0596            0.675624
       307                6.48             10.0479            0.673524
       308                6.48             10.0364            0.671437
       309               13.52             10.0476            0.669359
       310               11.52             10.0524            0.667217
       311                6.48             10.0409             0.66517
       312                   8             10.0344             0.66307
       313               11.52             10.0391            0.660969
       314                6.48             10.0278            0.658961
       315                3.92             10.0084            0.657154
       316                   8              10.002            0.655105
       317                3.92             9.98284             0.65332
       318                6.48             9.97182            0.651358
       319               11.52             9.97668            0.649334
       320               13.52             9.98775            0.647399
       321                   8             9.98156            0.645412
       322                3.92             9.96273            0.643682
       323                2.88              9.9408            0.642063
       324                1.28             9.91407            0.640637
       325                1.28             9.88751            0.639217
       326                0.08             9.85742            0.637964
       327                0.08             9.82752            0.636713
       328                0.72             9.79976            0.635377
       329                0.08             9.77021            0.634132
       330                0.08             9.74085             0.63289
       331                0.32             9.71239            0.631618
       332                0.32              9.6841            0.630348
       333                1.28             9.65886            0.628961
       334                   2             9.63593            0.627495
       335                1.28             9.61099            0.626118
       336                1.28             9.58619            0.624745
       337                0.08             9.55798            0.623528
       338                   0              9.5297            0.622324
       339                0.08             9.50183            0.621112
       340                1.28             9.47765            0.619756
       341                2.88              9.4583             0.61824
       342                2.88             9.43906            0.616732
       343                3.92             9.42297            0.615144
       344                0.72             9.39767            0.613875
       345                   2             9.37623             0.61247
       346                   0             9.34913            0.611299
       347                0.08             9.32242            0.610121
       348                0.08             9.29586            0.608946
       349                0.08             9.26946            0.607773
       350                0.72             9.24503            0.606527
       351                1.28             9.22234            0.605224
       352                   2             9.20182            0.603852
       353                1.28             9.17938            0.602558
       354                0.08             9.15367            0.601404
       355                0.72             9.12992            0.600179
       356                   0             9.10427            0.599041
       357                2.88             9.08683            0.597616
       358                0.72             9.06346            0.596404
       359                0.32             9.03911             0.59524
       360                0.08             9.01422            0.594106
       361                1.28              8.9928            0.592847
       362                1.28             8.97149            0.591592
       363                6.48             8.96463            0.590002
       364                5.12             8.95407            0.588476
       365                1.28             8.93304            0.587239
       366                0.72              8.9106            0.586063
       367                1.28             8.88981            0.584835
       368                5.12             8.87957            0.583335
       369                3.92             8.86612            0.581909
       370                6.48             8.85968            0.580372
       371                   8             8.85736            0.578812
       372                   2             8.83892             0.57755
       373                1.28             8.81866            0.576357
       374                   2             8.80043            0.575104
       375                2.88             8.78464            0.573787
       376                2.88             8.76894            0.572476
       377                1.28             8.74907            0.571302
       378                1.28             8.72931            0.570132
       379                0.32             8.70712             0.56906
       380                5.12             8.69768             0.56764
       381                6.48             8.69186             0.56618
       382                6.48             8.68607            0.564728
       383                9.68             8.68867            0.563259
       384                9.68             8.69125            0.561798
       385                5.12             8.68197            0.560416
       386               11.52             8.68933            0.559012
       387                1.28             8.67018            0.557895
       388                   0             8.64784            0.556905
       389                1.28             8.62889            0.555795
       390                1.28             8.61005            0.554689
       391                1.28              8.5913            0.553587
       392                0.72             8.57122            0.552539
       393                0.08             8.54962            0.551556
       394                0.32             8.52873            0.550551
       395                0.72             8.50896            0.549512
       396                   2             8.49253             0.54837
       397                   2             8.47617            0.547233
       398                0.32             8.45568            0.546241
       399                1.28             8.43769            0.545168
       400                9.68              8.4408            0.543814
       401                5.12             8.43252            0.542521
       402                6.48             8.42766            0.541193
       403                   8              8.4266            0.539851
       404                6.48             8.42178            0.538537
       405                6.48             8.41699            0.537228
       406                2.88             8.40335            0.536078
       407                0.32             8.38349            0.535129
       408                   0             8.36294            0.534212
       409                0.08             8.34269            0.533289
       410                2.88             8.32937            0.532155
       411                3.92             8.31864            0.530968
       412                6.48             8.31417            0.529698
       413                0.72             8.29579            0.528735
       414                   0             8.27575            0.527837
       415                0.32             8.25658            0.526913
       416                0.32              8.2375            0.525992
       417                0.08             8.21794            0.525094
       418                   0             8.19828            0.524206
       419                   2             8.18348            0.523163
       420                1.28             8.16705            0.522176
       421                0.72             8.14936            0.521235
       422                   2             8.13479            0.520204
       423                2.88             8.12236            0.519122
       424                1.28             8.10623            0.518149
       425                2.88             8.09393            0.517075
       426                5.12             8.08695            0.515909
       427                1.28             8.07101            0.514947
       428                1.28             8.05514            0.513988
       429                   2             8.04103            0.512984
       430                0.08             8.02251            0.512125
       431                0.08             8.00408            0.511268
       432                   0             7.98556             0.51042
       433                0.72             7.96878            0.509517
       434                0.32             7.95115            0.508648
       435                0.32             7.93361            0.507781
       436                0.32             7.91615            0.506916
       437                0.32             7.89876            0.506054
       438                1.28             7.88365            0.505124
       439                0.72             7.86733            0.504237
       440                   0             7.84945            0.503408
       441                1.28             7.83456            0.502487
       442                0.32             7.81756            0.501638
       443                0.08             7.80009            0.500809
       444                0.32             7.78324            0.499965
       445                0.08             7.76593            0.499141
       446                   0             7.74852            0.498325
       447                1.28             7.73405             0.49742
       448                   2             7.72125            0.496475
       449                2.88             7.71047            0.495486
       450                0.72             7.69493            0.494629
       451                   2             7.68231            0.493693
       452                   2             7.66973            0.492761
       453                5.12             7.66411            0.491705
       454                   2             7.65163             0.49078
       455                   0             7.63481             0.48999
       456                0.08             7.61825            0.489195
       457                0.32             7.60228            0.488385
       458                0.08             7.58585            0.487595
       459                   0             7.56932            0.486813
       460                0.32             7.55357             0.48601
       461                   0             7.53718            0.485231
       462                0.08             7.52104            0.484449
       463                1.28             7.50756            0.483591
       464                3.92             7.49983             0.48261
       465                5.12             7.49471              0.4816
       466                6.48             7.49253            0.480571
       467                   8             7.49362            0.479543
