#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         153     -0.8384   -0.804706   0.0075569
         154      -0.836   -0.804909  0.00751056
         155     -0.7576   -0.804604   0.0074683
         156     -0.6752   -0.803774  0.00746635
         157        -0.6   -0.802476  0.00753076
         158     -0.6024    -0.80121  0.00758882
         159     -0.6864   -0.800488  0.00757537
         160      -0.604    -0.79926  0.00762691
         161      -0.604   -0.798047  0.00767536
         162      -0.684   -0.797343   0.0076602
         163      -0.604   -0.796157  0.00770449
         164     -0.7632   -0.795956  0.00766013
         165     -0.9256   -0.796742   0.0076539
         166     -0.8448   -0.797031  0.00761327
         167     -0.9256   -0.797801   0.0076065
         168     -0.9264   -0.798567  0.00759964
         169     -0.9264   -0.799323  0.00759223
         170     -0.8456   -0.799595  0.00755244
         171     -0.8448    -0.79986   0.0075129
         172     -0.8448   -0.800121  0.00747377
         173      -0.844   -0.800375  0.00743487
         174     -0.8424   -0.800616  0.00739606
         175     -0.8416    -0.80085   0.0073575
         176     -0.6848   -0.800191  0.00734519
         177     -0.6072   -0.799101  0.00738417
         178      -0.608   -0.798027  0.00742032
         179     -0.7648   -0.797841  0.00738119
         180     -0.7648   -0.797658  0.00734247
         181     -0.7672    -0.79749  0.00730383
         182     -0.6864   -0.796879  0.00728916
         183     -0.6832   -0.796258  0.00727575
         184      -0.604   -0.795213  0.00731085
         185     -0.7632    -0.79504  0.00727338
         186      -0.684   -0.794443  0.00725873
         187     -0.6832   -0.793848  0.00724425
         188     -0.7608   -0.793672  0.00720785
         189     -0.7608   -0.793498  0.00717181
         190     -0.7632   -0.793339  0.00713584
         191     -0.7616   -0.793173  0.00710041
         192     -0.6064     -0.7922  0.00712976
         193     -0.6048   -0.791229  0.00715863
         194     -0.4432   -0.789435  0.00734307
         195     -0.5232    -0.78807  0.00743126
         196      -0.604   -0.787131  0.00745245
         197     -0.5208   -0.785779  0.00753625
         198     -0.7624   -0.785661  0.00749911
         199     -0.7576    -0.78552  0.00746275
         200     -0.7592   -0.785388   0.0074266
         201       -0.76   -0.785262  0.00739073
         202     -0.7632   -0.785152  0.00735494
         203     -0.7648   -0.785052   0.0073194
         204     -0.6824   -0.784549  0.00730079
         205     -0.6856   -0.784066  0.00728112
         206     -0.6032   -0.783188  0.00729852
         207     -0.6856   -0.782717  0.00727847
         208     -0.6864   -0.782254  0.00725819
