#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
       177                0.36            0.395706           0.0243764
       178                 0.4             0.39573           0.0242394
       179                0.24             0.39486           0.0241196
       180                0.24               0.394            0.024001
       181                0.36            0.393812           0.0238691
       182                0.32            0.393407           0.0237414
       183                0.16            0.392131           0.0236459
       184                 0.2            0.391087           0.0235404
       185                0.16            0.389838           0.0234463
       186                 0.2            0.388817           0.0233425
       187                0.16            0.387594           0.0232497
       188                0.04            0.385745           0.0231994
       189                0.04            0.383915           0.0231487
       190                0.16            0.382737           0.0230568
       191                0.08            0.381152           0.0229905
       192                0.32            0.380833            0.022873
       193                0.24            0.380104           0.0227661
       194                0.16            0.378969            0.022677
       195                0.16            0.377846           0.0225885
       196                 0.2            0.376939           0.0224915
       197                0.04            0.375228           0.0224422
       198                0.12            0.373939           0.0223659
       199               -0.12            0.371457           0.0223908
       200               -0.04              0.3694           0.0223732
       201                   0            0.367562           0.0223372
       202                0.16            0.366535           0.0222502
       203                0.24            0.365911           0.0221494
       204                0.12            0.364706           0.0220736
       205                0.28            0.364293           0.0219698
       206                0.16            0.363301           0.0218855
       207                0.28            0.362899           0.0217835
       208                0.32            0.362692           0.0216797
       209                0.08             0.36134           0.0216181
       210                0.24            0.360762           0.0215229
       211                0.08            0.359431            0.021462
       212                0.04            0.357925           0.0214136
       213                0.12            0.356808           0.0213422
       214               -0.04            0.354953           0.0213228
       215                -0.2            0.352372           0.0213793
       216                -0.4            0.348889           0.0215622
       217               -0.36            0.345622           0.0217089
       218               -0.32            0.342569            0.021823
       219               -0.32            0.339543           0.0219321
       220               -0.36            0.336364           0.0220617
       221               -0.48             0.33267           0.0222689
       222               -0.52            0.328829           0.0224974
       223               -0.44            0.325381           0.0226592
       224               -0.48            0.321786           0.0228415
       225                -0.4            0.318578           0.0229641
       226               -0.24            0.316106           0.0229951
       227               -0.16            0.314009           0.0229893
       228               -0.24            0.311579           0.0230165
       229                -0.2            0.309345           0.0230242
       230               -0.36            0.306435           0.0231072
       231                -0.4            0.303377           0.0232087
       232               -0.48                 0.3            0.023353
       233               -0.48            0.296652           0.0234915
       234                -0.6            0.292821           0.0237016
       235               -0.64            0.288851           0.0239308
       236               -0.64            0.284915           0.0241509
       237                -0.6            0.281181           0.0243359
       238               -0.44            0.278151           0.0244216
       239               -0.48            0.274979           0.0245245
       240               -0.56              0.2715           0.0246679
       241               -0.52            0.268216           0.0247832
       242               -0.44            0.265289            0.024853
       243               -0.44            0.262387           0.0249196
       244               -0.16            0.260656           0.0248775
       245               -0.36            0.258122           0.0249046
       246               -0.48            0.255122           0.0249835
       247                -0.6             0.25166           0.0251211
       248               -0.56            0.248387           0.0252321
       249               -0.64            0.244819           0.0253817
       250               -0.68             0.24112           0.0255483
       251               -0.68             0.23745           0.0257088
       252               -0.72            0.233651            0.025886
       253               -0.68             0.23004           0.0260344
       254               -0.72            0.226299           0.0261992
       255                -0.6            0.223059            0.026296
       256               -0.56                0.22           0.0263706
       257               -0.44            0.217432           0.0263928
       258               -0.32            0.215349           0.0263725
       259               -0.28            0.213436             0.02634
       260               -0.36            0.211231           0.0263309
       261               -0.24            0.209502           0.0262867
       262               -0.16            0.208092           0.0262241
       263                0.08            0.207605           0.0261289
       264                0.12            0.207273           0.0260321
       265                0.24            0.207396           0.0259341
       266                0.08            0.206917           0.0258411
       267                   0            0.206142           0.0257559
       268                0.08            0.205672           0.0256641
       269                0.04            0.205056           0.0255761
       270               -0.16            0.203704           0.0255171
       271               -0.24            0.202066           0.0254754
       272                -0.2            0.200588           0.0254246
       273                   0            0.199853           0.0253421
       274               -0.24            0.198248           0.0253004
       275                -0.2              0.1968           0.0252498
       276               -0.28            0.195072           0.0252173
       277               -0.36            0.193069           0.0252058
       278               -0.36            0.191079           0.0251935
       279               -0.28            0.189391           0.0251597
       280               -0.32            0.187571           0.0251355
       281                -0.2            0.186192           0.0250839
       282               -0.12            0.185106           0.0250184
       283               -0.16            0.183887           0.0249597
       284               -0.16            0.182676           0.0249012
       285               -0.16            0.181474           0.0248428
       286               -0.12             0.18042           0.0247783
       287               -0.12            0.179373           0.0247141
       288               -0.04            0.178611             0.02464
       289               -0.08            0.177716            0.024571
       290                0.08            0.177379           0.0244886
       291                0.12            0.177182           0.0244052
       292                0.04            0.176712           0.0243262
       293                0.08            0.176382           0.0242454
       294                0.16            0.176327            0.024163
       295                0.24            0.176542            0.024082
       296                0.24            0.176757           0.0240016
       297                0.32            0.177239           0.0239257
       298                0.32            0.177718           0.0238502
       299                0.44            0.178595           0.0237865
       300                0.48              0.1796           0.0237285
       301                 0.4            0.180332           0.0236609
       302                0.36            0.180927             0.02359
       303                0.44            0.181782           0.0235277
       304                0.52            0.182895           0.0234766
       305                0.48            0.183869           0.0234198
       306                0.48            0.184837           0.0233633
       307                0.36            0.185407           0.0232941
       308                0.36            0.185974           0.0232254
       309                0.52            0.187055           0.0231754
       310                0.48               0.188           0.0231199
       311                0.36            0.188553           0.0230521
       312                 0.4            0.189231           0.0229882
       313                0.48             0.19016           0.0229335
       314                0.36            0.190701           0.0228669
       315                0.28            0.190984            0.022796
