#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         173     4.20993     1.70978    0.111747
         174     4.56214     1.72618      0.1123
         175      5.2917     1.74655    0.113492
         176     4.00258     1.75937    0.113569
         177     4.14567     1.77285    0.113724
         178     3.61362     1.78319    0.113555
         179     3.59456     1.79331     0.11337
         180     3.34593     1.80194    0.113068
         181     3.24619     1.80992    0.112725
         182     3.54709     1.81946    0.112509
         183     4.09905     1.83192    0.112581
         184     3.26205     1.83969    0.112237
         185     2.48195     1.84316    0.111684
         186     3.60744     1.85265    0.111486
         187     3.22427     1.85998    0.111131
         188     3.15836     1.86689    0.110754
         189     2.93643     1.87255    0.110313
         190     3.55429      1.8814    0.110087
         191     3.95911     1.89228    0.110046
         192     4.32733     1.90496    0.110202
         193     3.61744     1.91383    0.109987
         194      4.0145     1.92466    0.109952
         195     4.45509     1.93764    0.110151
         196     4.54944     1.95096    0.110392
         197     4.64251     1.96463    0.110674
         198     5.39343     1.98194    0.111462
         199     5.23018     1.99827    0.112091
         200     4.76143     2.01208    0.112378
         201     4.10138     2.02248    0.112299
         202     3.73487     2.03095    0.112062
         203     3.59635     2.03867    0.111775
         204     3.60777     2.04636    0.111492
         205     3.39292     2.05293    0.111141
         206     4.36892     2.06417    0.111169
         207      4.1389     2.07419    0.111083
         208     3.91624     2.08305    0.110901
         209     4.34895     2.09389    0.110899
         210      3.7242     2.10165    0.110643
         211     3.53516     2.10845    0.110327
         212     4.10808     2.11788    0.110209
         213     4.57163      2.1294    0.110292
         214     3.83603     2.13737    0.110064
         215      3.7467     2.14486    0.109807
         216     2.75742     2.14769    0.109335
         217     3.21011     2.15259    0.108941
         218     2.85135      2.1558    0.108488
         219     2.79166      2.1587    0.108031
         220     2.62583     2.16082    0.107561
         221     2.47092     2.16223    0.107084
         222     2.93838     2.16572    0.106658
         223     3.20183     2.17037    0.106281
         224     3.65232     2.17698    0.106012
         225     3.72215     2.18385    0.105763
         226     4.23086     2.19291    0.105683
         227     4.05395     2.20111    0.105535
         228     4.26468     2.21016    0.105459
         229      5.2775     2.22355    0.105846
         230     5.17718     2.23639    0.106162
         231     4.71487     2.24712    0.106243
         232       4.306       2.256    0.106155
         233     3.71743     2.26227    0.105885
         234      3.5583     2.26781    0.105577
         235     3.56656     2.27334    0.105272
         236     3.33764     2.27785    0.104923
         237     3.52779     2.28312    0.104612
         238     3.53312     2.28837    0.104305
         239     3.96733      2.2954    0.104104
         240     5.11822     2.30716    0.104333
         241     5.27239     2.31946    0.104623
         242     4.89047     2.33009    0.104729
         243     4.20959     2.33782    0.104583
         244     3.63154     2.34312    0.104289
         245     3.26048     2.34687     0.10393
         246     3.06711     2.34979    0.103549
         247      3.1046     2.35285    0.103175
         248     3.25593     2.35649    0.102823
         249     3.57058     2.36137    0.102526
         250     4.11551     2.36838    0.102355
         251     4.49721     2.37687    0.102298
         252     4.65719     2.38591    0.102292
         253     3.91635     2.39196    0.102066
         254     4.05048     2.39849    0.101873
         255     3.60853     2.40324    0.101584
         256      4.0631     2.40972    0.101394
         257     4.37498     2.41737    0.101287
         258     4.37348     2.42495    0.101178
         259     4.16576     2.43167     0.10101
         260     4.40872     2.43928    0.100908
         261      3.7991     2.44449    0.100656
         262     3.72238     2.44936    0.100389
         263     2.81248     2.45074    0.100017
         264     3.34632     2.45414   0.0996959
         265     3.29658     2.45732   0.0993704
         266     3.22574      2.4602   0.0990388
         267     2.57707     2.46064   0.0986688
         268     2.42686     2.46052   0.0983007
         269     3.53449     2.46451   0.0980163
         270      4.0227     2.47028   0.0978231
         271     4.09619     2.47628   0.0976459
         272     3.64352     2.48057   0.0973812
         273       3.542     2.48446    0.097102
         274     3.87582     2.48954   0.0968803
         275     3.62766     2.49368   0.0966164
         276     3.75438     2.49824   0.0963743
         277     3.89959      2.5033    0.096159
         278     4.06107     2.50891   0.0959763
         279     4.32464     2.51541   0.0958527
         280     4.83491      2.5237   0.0958676
         281     4.36175     2.53024   0.0957493
         282     3.91587     2.53515   0.0955358
         283     4.00415     2.54034   0.0953391
         284      4.5116     2.54728   0.0952558
         285     4.59515     2.55447   0.0951922
         286     4.45654     2.56112   0.0950914
         287     3.42623     2.56413   0.0948078
         288     3.30737     2.56672   0.0945137
         289     3.93074     2.57144   0.0943045
         290     3.90147     2.57602   0.0940907
         291     3.67302     2.57979   0.0938429
         292     3.34173      2.5824   0.0935578
         293      4.0345     2.58736   0.0933696
         294     4.62393     2.59428   0.0933087
         295     4.34117     2.60021   0.0931801
         296     3.62197     2.60366   0.0929292
         297     3.41088     2.60638    0.092656
         298     3.62832      2.6098   0.0924085
         299     3.15815     2.61164   0.0921177
         300     3.88309     2.61588   0.0919081
         301     3.69195     2.61945   0.0916722
         302     3.43011     2.62214    0.091408
         303     3.63508     2.62548   0.0911674
         304     3.65945     2.62888   0.0909309
         305     3.49244     2.63171   0.0906769
         306      3.8572     2.63572   0.0904689
         307      3.8711     2.63974   0.0902637
         308     4.16328     2.64469   0.0901061
         309     4.04952     2.64923   0.0899291
         310     3.15352     2.65086   0.0896537
         311     3.86427     2.65476   0.0894503
         312     3.97377     2.65899   0.0892634
         313      3.5188     2.66174   0.0890205
         314      3.5259     2.66449   0.0887795
         315     3.80747     2.66812   0.0885718
         316     3.78526     2.67165    0.088362
         317     5.05404     2.67917   0.0884023
         318     4.46061     2.68477   0.0883017
         319     4.61019     2.69081   0.0882309
         320     3.79608     2.69426   0.0880228
         321     4.14588     2.69878   0.0878646
         322     4.07399     2.70305   0.0876955
         323     3.88011      2.7067   0.0874997
         324     4.46437     2.71212   0.0873976
         325     3.97867     2.71602   0.0872155
         326      3.4172     2.71817   0.0869745
         327     3.95673     2.72196    0.086791
         328     3.73246     2.72504    0.086581
         329     3.33326     2.72689   0.0863376
         330     3.97117     2.73066   0.0861583
         331     3.72747     2.73367   0.0859506
         332      3.6737      2.7365   0.0857383
         333     3.27385     2.73811    0.085496
         334     2.86931     2.73851    0.085241
         335     2.82622     2.73877   0.0849869
         336      3.1822     2.74009   0.0847442
         337     2.79238     2.74024   0.0844929
         338     3.06921     2.74122   0.0842485
         339     3.53193     2.74355   0.0840323
         340      4.0503     2.74739    0.083873
         341     3.97602       2.751   0.0837044
         342     3.96135     2.75453   0.0835344
         343     4.45872      2.7595   0.0834385
         344     4.52153     2.76463    0.083353
         345      4.3897     2.76934   0.0832444
         346     4.68772     2.77488   0.0831882
         347      4.1694      2.7789   0.0830455
         348       3.518     2.78102    0.082834
         349     4.58123     2.78618   0.0827571
         350     4.27653     2.79044   0.0826302
         351     4.43568     2.79513   0.0825276
         352     4.98039     2.80133   0.0825263
         353     4.59737     2.80642   0.0824492
         354     4.02806     2.80987   0.0822885
         355     4.09041     2.81348   0.0821357
         356     3.87667     2.81647   0.0819593
         357      3.6788     2.81888   0.0817653
         358     3.13959     2.81978   0.0815418
         359     3.49584     2.82166   0.0813364
         360     3.40803     2.82329   0.0811268
         361     3.44933     2.82502   0.0809206
         362     3.27471     2.82627   0.0807066
         363     3.26927     2.82749   0.0804935
         364     3.52672     2.82941   0.0802953
         365     3.40931       2.831    0.080091
         366      3.7838      2.8336   0.0799145
         367     3.74303     2.83608   0.0797351
         368     3.81136     2.83873   0.0795625
         369     3.19716      2.8397   0.0793528
         370     3.22424     2.84074   0.0791451
         371     3.81243     2.84336   0.0789751
         372     3.44017     2.84496   0.0787791
         373     2.85845       2.845   0.0785679
         374     3.25718      2.8461   0.0783656
         375     3.77535     2.84858   0.0781958
         376     3.56323     2.85048   0.0780109
         377     3.07831     2.85108   0.0778063
         378     3.49626     2.85279   0.0776192
         379     3.35884     2.85413   0.0774259
         380     2.81671     2.85403   0.0772222
         381     2.89843     2.85414   0.0770196
         382     3.76199     2.85652   0.0768546
         383     3.95069     2.85938   0.0767071
         384     3.52629     2.86111    0.076527
         385     4.41946     2.86516   0.0764352
         386     4.75066     2.87005   0.0763931
         387     4.53548     2.87435   0.0763168
         388     4.41532     2.87832   0.0762234
         389     3.96771     2.88112   0.0760788
         390     4.05406     2.88413   0.0759432
         391     3.71855     2.88626   0.0757789
         392     3.99768      2.8891   0.0756386
         393     3.60764     2.89093   0.0754683
         394     3.58835      2.8927   0.0752975
         395     3.26488     2.89364   0.0751128
         396     3.55166      2.8953   0.0749415
         397     3.33028      2.8964   0.0747607
         398     3.41309     2.89769   0.0745841
         399     3.81832         2.9   0.0744329
         400     3.79781     2.90225   0.0742806
         401     3.87558     2.90467    0.074135
         402     3.65516     2.90654   0.0739741
         403     4.01794      2.9093    0.073842
         404     4.57421     2.91342   0.0737741
         405     4.21181     2.91663   0.0736616
         406      3.6409     2.91841   0.0735017
         407      4.0347     2.92115   0.0733723
         408     4.50632     2.92504   0.0732952
         409     4.81414     2.92966   0.0732614
         410     3.83756     2.93187   0.0731162
         411     3.63448     2.93358   0.0729583
         412     4.31499     2.93693   0.0728582
         413       3.572     2.93847    0.072698
         414     3.31095     2.93937    0.072528
         415     3.77757     2.94139   0.0723813
         416       3.575     2.94291   0.0722234
         417     2.86524     2.94273   0.0720504
         418     2.63442     2.94199   0.0718818
         419     2.64438     2.94128   0.0717138
         420     1.94161      2.9389   0.0715825
         421     2.53085     2.93793    0.071419
         422     2.22914     2.93625   0.0712695
         423     2.14761     2.93439   0.0711254
         424     1.62647      2.9313   0.0710245
         425     1.88533     2.92884   0.0709001
         426     2.32171     2.92741   0.0707479
         427      2.0996     2.92548   0.0706088
         428     2.24999      2.9239   0.0704615
         429      2.4815     2.92287   0.0703048
         430     2.60635     2.92213   0.0701451
         431     1.74802     2.91941   0.0700353
         432     2.10709     2.91753   0.0698984
         433     1.50058     2.91425   0.0698135
         434     2.28298      2.9128   0.0696678
         435     2.29169     2.91137   0.0695223
         436     2.20918     2.90976   0.0693815
         437     2.65173     2.90917   0.0692252
         438     2.93741     2.90923   0.0690672
         439     2.80045     2.90899   0.0689103
         440     2.51706      2.9081   0.0687595
         441     2.84902     2.90796   0.0686037
         442     3.58121     2.90949   0.0684654
         443     3.99962     2.91195    0.068355
         444     3.10023     2.91237   0.0682024
         445     2.65575     2.91179   0.0680516
         446     2.85872     2.91167   0.0678991
         447     3.49279     2.91297   0.0677596
         448      3.0233     2.91322   0.0676088
         449     3.19866     2.91386   0.0674612
         450     3.07447     2.91421   0.0673123
         451     3.07142     2.91456   0.0671639
         452     2.94027     2.91462   0.0670154
         453     2.59066      2.9139   0.0668712
         454     2.49502     2.91298   0.0667303
         455     2.49778     2.91207   0.0665899
         456     2.02547     2.91012   0.0664722
         457     2.30743     2.90881   0.0663399
         458       2.678      2.9083   0.0661969
         459     3.69069     2.91001   0.0660746
         460     4.68867     2.91387   0.0660441
         461     4.50053     2.91731   0.0659904
         462     3.45941     2.91849    0.065858
         463      3.1681     2.91903    0.065718
         464     2.79307     2.91876   0.0655769
         465      2.9135     2.91874   0.0654359
         466      3.2741     2.91951   0.0652999
         467       3.317     2.92036   0.0651656
         468     3.10302     2.92075   0.0650275
         469     3.37196     2.92171    0.064896
         470     3.00328     2.92188   0.0647582
         471     2.86759     2.92177   0.0646208
         472     3.01318     2.92196   0.0644842
         473      2.8827     2.92188   0.0643479
         474     3.08934     2.92223   0.0642131
         475     2.88038     2.92214    0.064078
         476     3.44195     2.92324   0.0639527
         477     4.00164      2.9255   0.0638585
         478      4.2967     2.92837   0.0637893
         479     3.96236     2.93052   0.0636927
         480       3.768     2.93227   0.0635839
         481     4.07567     2.93465   0.0634961
         482     3.37534     2.93556   0.0633709
         483     2.47163      2.9346    0.063247
         484     3.03082      2.9348   0.0631167
         485     3.72962     2.93644   0.0630078
         486     3.74931     2.93811   0.0629003
         487     2.79773     2.93782   0.0627718
         488     2.94743     2.93784   0.0626432
         489     2.80259     2.93757   0.0625157
         490     3.69798     2.93912   0.0624074
         491      3.4109     2.94008   0.0622877
         492     3.55312     2.94132   0.0621736
         493     3.54975     2.94256   0.0620597
         494     3.47847     2.94364   0.0619435
         495     3.59154     2.94495   0.0618322
         496     3.25203     2.94557   0.0617107
         497      3.4051      2.9465   0.0615934
         498     4.00931     2.94863   0.0615067
         499     4.15929     2.95106   0.0614313
         500     4.26051     2.95367   0.0613642
         501     4.11868       2.956   0.0612858
         502     4.27061     2.95862   0.0612196
         503     4.36546     2.96142   0.0611618
         504     4.49315     2.96446   0.0611159
         505     3.79547      2.9661    0.061017
         506     3.89111     2.96793   0.0609238
         507       4.137     2.97023   0.0608473
         508     3.85872     2.97198   0.0607526
         509     3.26504     2.97256    0.060636
         510       2.791      2.9722   0.0605181
         511     3.55255     2.97334   0.0604104
         512     3.74499     2.97485   0.0603112
         513     4.00978     2.97686   0.0602273
         514     4.23677     2.97931     0.06016
         515      3.7064     2.98073   0.0600598
         516     3.77523     2.98227   0.0599631
         517      3.8414     2.98393   0.0598701
         518     3.22415     2.98439   0.0597564
         519     3.67832     2.98573   0.0596562
         520     3.86567     2.98742   0.0595654
         521     3.95917     2.98929   0.0594803
         522     3.48395     2.99023   0.0593739
         523     2.95809     2.99017   0.0592604
         524     3.06841     2.99032   0.0591475
         525     2.44294     2.98928    0.059044
         526     2.55354     2.98845   0.0589376
         527     4.05546     2.99048   0.0588605
         528     4.06237     2.99251   0.0587841
         529     4.01814     2.99444   0.0587049
         530     4.51569     2.99731   0.0586643
         531     4.43027     3.00001   0.0586158
         532     4.07527     3.00203   0.0585405
         533     3.50663     3.00298   0.0584383
         534     3.09227     3.00315   0.0583291
         535     3.77949      3.0046   0.0582381
         536     3.05812      3.0047   0.0581296
         537     3.49187     3.00561   0.0580284
         538     4.17237     3.00778    0.057961
         539     3.38611     3.00848   0.0578577
         540     4.40094     3.01106    0.057808
         541     4.34354     3.01352   0.0577536
         542      3.6782     3.01475   0.0576601
         543     4.78994     3.01801   0.0576465
         544     4.87696     3.02143   0.0576417
         545     4.45203     3.02406   0.0575957
         546     3.89924     3.02566   0.0575125
         547     4.29585     3.02798   0.0574542
         548     4.24468      3.0302   0.0573923
         549     2.89274     3.02995   0.0572883
         550     2.79472     3.02952   0.0571857
         551      3.2155     3.02986   0.0570829
         552      2.9157     3.02965   0.0569799
         553     3.36186     3.03026     0.05688
         554     4.38634      3.0327     0.05683
         555      4.5616     3.03546   0.0567943
         556     3.99491     3.03718   0.0567184
         557     3.59486     3.03818   0.0566254
         558     3.89052     3.03971   0.0565445
         559     3.93581     3.04131   0.0564661
         560     3.59626     3.04231   0.0563739
         561     3.61581     3.04333   0.0562827
         562     3.98557       3.045   0.0562075
         563      4.0833     3.04685    0.056138
         564     4.34051     3.04914   0.0560853
         565     4.27046      3.0513   0.0560276
         566     3.84431     3.05271   0.0559462
         567     3.45398     3.05341    0.055852
         568     4.00717     3.05509   0.0557789
         569     4.63079     3.05786   0.0557495
         570     4.34047     3.06011   0.0556971
         571     3.97361     3.06171   0.0556226
         572     3.42272     3.06234   0.0555289
         573     3.53304     3.06316   0.0554381
         574     3.29797     3.06357    0.055343
         575     3.21056     3.06383   0.0552473
         576     3.58621     3.06474   0.0551589
         577     2.68163     3.06407   0.0550673
         578      2.9218     3.06383   0.0549725
         579     2.99496     3.06371   0.0548777
         580     3.37033     3.06424   0.0547857
         581     3.70202     3.06533   0.0547024
         582     3.29857     3.06573   0.0546098
         583     3.26649     3.06608   0.0545172
         584     2.57414     3.06524   0.0544304
         585      2.6843     3.06458   0.0543413
         586     3.02993     3.06453   0.0542486
         587     3.46398     3.06521   0.0541604
         588      2.7744     3.06471   0.0540706
         589     2.86286     3.06437   0.0539798
         590     1.86402     3.06233   0.0539267
         591     2.27655       3.061   0.0538518
         592     2.88768     3.06071   0.0537616
         593     2.65453     3.06003   0.0536753
         594     2.90396     3.05976   0.0535856
         595     3.48968     3.06049   0.0535004
         596     2.81285     3.06007   0.0534123
         597     2.35564     3.05889   0.0533359
         598     2.63382     3.05818   0.0532514
         599     2.27852     3.05688   0.0531784
         600     2.23584     3.05551   0.0531074
         601     1.75864     3.05335   0.0530628
         602     2.45584     3.05236    0.052984
         603      2.3399     3.05118   0.0529093
         604     1.65183     3.04886   0.0528724
         605     1.69069     3.04662   0.0528326
         606     2.47617     3.04568   0.0527538
         607     2.25669     3.04438   0.0526829
         608     3.14326     3.04454   0.0525965
         609     2.47975     3.04361   0.0525183
         610     2.62289     3.04292   0.0524368
         611     2.81758     3.04255   0.0523522
         612     2.36818     3.04145   0.0522783
         613     1.89348     3.03958   0.0522265
         614     2.10297     3.03805   0.0521638
         615     2.43641     3.03707   0.0520881
         616     2.44079     3.03611   0.0520125
         617     2.63889     3.03546   0.0519322
         618     2.82165     3.03512   0.0518494
         619     3.22718     3.03543   0.0517665
         620     3.37933     3.03598    0.051686
         621      3.5766     3.03685   0.0516101
         622     3.42646     3.03748   0.0515309
         623     3.32308     3.03794   0.0514502
         624     3.36635     3.03846   0.0513705
         625     3.15642     3.03865   0.0512886
         626     2.87452     3.03839   0.0512074
         627     3.26815     3.03876    0.051127
         628     3.44286      3.0394   0.0510497
         629     2.56717     3.03865    0.050974
         630      2.3498     3.03756   0.0509048
         631      2.2897     3.03637    0.050838
         632     2.84766     3.03607   0.0507584
         633     3.11342     3.03619   0.0506784
         634     3.25372     3.03654   0.0505996
         635     3.72034     3.03761   0.0505314
         636     3.97967     3.03909   0.0504736
         637     4.58415     3.04152   0.0504526
         638     4.13857     3.04324   0.0504028
         639     4.39022     3.04535    0.050368
         640      4.2477     3.04723   0.0503243
         641      4.4335     3.04939   0.0502923
         642     3.98768     3.05085   0.0502352
         643     3.29089     3.05122   0.0501584
         644     3.22567     3.05149   0.0500813
         645     3.54141     3.05225   0.0500094
         646     3.11412     3.05235   0.0499321
         647     2.98977     3.05225    0.049855
         648     2.74666     3.05178   0.0497803
         649     1.75789     3.04979   0.0497435
         650     2.25414     3.04856    0.049682
         651     1.98637     3.04693   0.0496325
         652     2.90828     3.04672   0.0495568
         653     3.06959     3.04675   0.0494809
         654     2.78484     3.04635   0.0494069
         655     2.67506     3.04579   0.0493347
         656     2.77859     3.04538   0.0492612
         657     3.53454     3.04612   0.0491918
         658     3.77878     3.04724   0.0491297
         659     4.59737     3.04959   0.0491114
         660     4.45007     3.05171   0.0490828
         661     3.86926     3.05295   0.0490241
         662     3.94047     3.05429   0.0489684
         663     3.23473     3.05456   0.0488953
         664     3.20094     3.05478   0.0488222
         665     3.08185     3.05482   0.0487488
         666     2.77018      3.0544   0.0486775
         667     3.15509     3.05455   0.0486047
         668     2.85865     3.05425   0.0485328
         669     2.97975     3.05414   0.0484604
         670     2.26242     3.05296   0.0484025
         671     1.89211     3.05123   0.0483613
         672     1.29494     3.04862   0.0483599
         673     2.18017     3.04733   0.0483052
         674     2.16286     3.04601   0.0482514
         675     2.31431     3.04493   0.0481921
         676     2.65148     3.04435   0.0481243
         677     1.78787     3.04249    0.048089
         678     2.21045     3.04127   0.0480337
         679     2.49942     3.04047   0.0479696
         680     2.36784     3.03948   0.0479092
         681     2.92415     3.03931   0.0478392
         682     2.02616     3.03782   0.0477921
         683     2.10112     3.03645   0.0477418
         684     1.88997     3.03478   0.0477014
