0		3.14056		3.14056		0
1		3.14703		3.14379		0.00323682
2		3.13617		3.14125		0.00315334
3		3.15219		3.14399		0.0035278
4		3.14951		3.14509		0.00294727
5		3.14248		3.14466		0.00244545
6		3.14001		3.14399		0.00217057
7		3.14629		3.14428		0.00190152
8		3.13844		3.14363		0.00179825
9		3.13421		3.14269		0.00186411
10		3.13195		3.14171		0.00194837
11		3.14579		3.14205		0.00181082
12		3.14164		3.14202		0.00166601
13		3.15303		3.14281		0.00173143
14		3.13259		3.14213		0.00174995
15		3.13303		3.14156		0.00173285
16		3.14095		3.14152		0.00162812
17		3.12886		3.14082		0.00168844
18		3.13028		3.14026		0.00169062
19		3.14728		3.14061		0.00164175
20		3.13215		3.14021		0.00161285
21		3.13681		3.14006		0.00154553
22		3.12339		3.13933		0.001645
23		3.14485		3.13956		0.00159168
24		3.13426		3.13935		0.00154136
25		3.15323		3.13988		0.00157421
26		3.151		3.14029		0.0015697
27		3.13278		3.14003		0.00153621
28		3.15373		3.1405		0.00155577
29		3.15179		3.14088		0.00154943
30		3.14658		3.14106		0.00150988
31		3.14515		3.14119		0.00146751
32		3.15423		3.14158		0.0014762
33		3.14683		3.14174		0.00144042
34		3.13922		3.14166		0.0014005
35		3.13735		3.14155		0.00136631
36		3.13696		3.14142		0.00133463
37		3.12549		3.141		0.00136503
38		3.13642		3.14088		0.00133475
39		3.14283		3.14093		0.00130186
40		3.13883		3.14088		0.00127074
41		3.15398		3.14119		0.00127871
42		3.12681		3.14086		0.00129266
43		3.14416		3.14093		0.00126517
44		3.14857		3.1411		0.00124831
45		3.15522		3.14141		0.00125885
46		3.14644		3.14152		0.00123641
47		3.12373		3.14115		0.00126583
48		3.14609		3.14125		0.00124382
49		3.12315		3.14089		0.00127133
50		3.17365		3.14153		0.00140197
51		3.15686		3.14182		0.00140603
52		3.15229		3.14202		0.0013933
53		3.16852		3.14251		0.00145264
54		3.13509		3.14238		0.00143235
55		3.15144		3.14254		0.00141583
56		3.14931		3.14266		0.00139583
57		3.16311		3.14301		0.00141615
58		3.14688		3.14307		0.00139348
59		3.14204		3.14306		0.00137017
60		3.14159		3.14303		0.00134773
61		3.15507		3.14323		0.00133996
62		3.13942		3.14317		0.0013199
63		3.12872		3.14294		0.0013186
64		3.13283		3.14279		0.00130743
65		3.14006		3.14274		0.00128813
66		3.15244		3.14289		0.00127698
67		3.12363		3.14261		0.00128954
68		3.13588		3.14251		0.00127445
69		3.13372		3.14238		0.00126238
70		3.12994		3.14221		0.00125675
71		3.13224		3.14207		0.00124688
72		3.13411		3.14196		0.0012345
73		3.14411		3.14199		0.00121805
74		3.14051		3.14197		0.00120186
75		3.14787		3.14205		0.00118848
76		3.145		3.14209		0.00117358
77		3.16952		3.14244		0.00121066
78		3.15318		3.14257		0.00120295
79		3.12999		3.14242		0.00119819
80		3.13607		3.14234		0.00118589
81		3.12916		3.14218		0.00118232
82		3.15592		3.14234		0.00117966
83		3.13048		3.1422		0.00117406
84		3.16056		3.14242		0.00118009
85		3.13288		3.14231		0.00117155
86		3.15726		3.14248		0.00117069
87		3.14381		3.14249		0.00115741
88		3.14961		3.14257		0.00114712
89		3.1407		3.14255		0.00113449
90		3.14026		3.14253		0.00112224
91		3.13947		3.14249		0.00111047
92		3.13799		3.14245		0.00109953
93		3.12603		3.14227		0.00110171
94		3.13721		3.14222		0.00109135
95		3.14485		3.14225		0.00108028
