2	0.749745	0.490313	-0.259658	0.005854
1.99	0.536416	0.80033	-0.292805	0.00500172
1.98	0.572153	0.937578	-0.228645	0.0143501
1.97	0.489217	0.914536	-0.265475	0.00883948
1.96	0.288436	0.912927	-0.251402	0.00574403
1.95	0.338215	0.906342	-0.247112	0.00879761
1.94	0.0480783	0.944242	-0.244898	0.00636581
1.93	0.17439	0.765601	-0.0783435	0.00600942
1.92	0.171906	0.765413	-0.08443	0.00623634
1.91	0.413654	1.14523	0.0219354	0.0315746
1.9	0.634124	0.772404	-0.329961	0.00567571
1.89	0.770332	1.29461	1.06039	0.0736237
1.88	0.693023	1.39053	1.45089	0.0962013
1.87	0.598226	1.15001	0.171011	0.0452615
1.86	0.839008	0.921611	-0.0149814	0.0251883
1.85	0.733761	0.925571	-0.138308	0.0205032
1.84	0.815768	0.984519	0.11857	0.0315467
1.83	0.791337	0.727965	-0.365677	0.00807383
1.82	0.159708	0.833299	-0.167697	0.0057334
1.81	0.16073	0.567124	0.369217	0.00789517
1.8	0.218056	0.659975	0.0863445	0.00704692
1.79	0.00375539	0.650653	0.19422	0.00825516
1.78	0.0815303	0.812229	-0.116552	0.00613922
1.77	0.0260426	1.04491	-0.262308	0.00952485
1.76	0.0549177	0.926559	-0.230417	0.0053086
1.75	0.162941	0.71563	0.0156954	0.00666772
1.74	0.100599	0.985526	-0.244767	0.00856545
1.73	0.0894296	1.09364	-0.207815	0.0179946
1.72	0.325145	0.951244	-0.250054	0.00723795
1.71	0.203008	0.978472	-0.259186	0.00690924
1.7	0.109684	0.856966	-0.187989	0.00684765
1.69	0.0916555	0.5625	0.447837	0.00851483
1.68	0.782216	0.702268	-0.397258	0.00673032
1.67	1.07094	0.886832	0.541435	0.0396183
1.66	0.82743	0.580695	-0.431062	0.0021177
1.65	0.374598	0.854113	-0.244766	0.00565492
1.64	0.199816	1.07826	-0.241017	0.0125479
1.63	0.322393	1.02377	-0.223018	0.012954
1.62	0.457402	0.85881	-0.261777	0.00632521
1.61	0.0524709	0.414812	1.23977	0.0150184
1.6	0.417858	0.246485	2.42857	0.0339195
1.59	0.688749	0.401986	0.209881	0.0114822
1.58	0.843711	0.603926	-0.435796	0.00286054
1.57	0.668772	0.729627	-0.370717	0.00367766
1.56	0.558033	0.484224	-0.147456	0.00625366
1.55	0.623988	0.558478	-0.324203	0.00434427
1.54	0.230461	0.875879	-0.221857	0.00523682
