#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168    0.582039    0.716624   0.0200767
         169    0.582448     0.71583   0.0199736
         170    0.582688    0.715047   0.0198714
         171    0.582765    0.714273   0.0197703
         172    0.582687    0.713508   0.0196701
         173    0.582459    0.712751    0.019571
         174    0.582088       0.712   0.0194729
         175    0.581581    0.711254   0.0193759
         176    0.580945    0.710514   0.0192799
         177    0.580186    0.709778   0.0191851
         178     0.57931    0.709045   0.0190913
         179    0.578323    0.708314   0.0189986
         180    0.577231    0.707586    0.018907
         181    0.576042    0.706859   0.0188165
         182     0.57476    0.706134   0.0187271
         183    0.573392    0.705408   0.0186388
         184    0.571946    0.704683   0.0185516
         185    0.570426    0.703957   0.0184655
         186     0.56884    0.703231   0.0183805
         187    0.567192    0.702503   0.0182966
         188    0.565491    0.701774   0.0182138
         189    0.563742    0.701044   0.0181321
         190    0.561951    0.700312   0.0180514
         191    0.560126    0.699578   0.0179718
         192    0.558274    0.698842   0.0178933
         193    0.556402    0.698104   0.0178158
         194     0.55452    0.697364   0.0177393
         195    0.552634    0.696622   0.0176639
         196    0.550753    0.695878   0.0175894
         197    0.548884    0.695131    0.017516
         198    0.547035    0.694383   0.0174435
         199    0.545216    0.693634   0.0173719
         200    0.543435    0.692883   0.0173013
         201    0.541701    0.692131   0.0172315
         202    0.540023    0.691378   0.0171627
         203    0.538411    0.690624   0.0170947
         204    0.536873     0.68987   0.0170275
         205    0.535419    0.689117   0.0169611
         206    0.534058    0.688364   0.0168954
         207    0.532799    0.687613   0.0168305
         208    0.531651    0.686863   0.0167663
         209    0.530622    0.686115   0.0167027
         210    0.529719    0.685371   0.0166398
         211     0.52895    0.684629   0.0165774
         212     0.52832    0.683892   0.0165156
         213    0.527837    0.683159   0.0164543
         214    0.527505    0.682432   0.0163935
         215     0.52733    0.681711   0.0163331
         216    0.527313    0.680996   0.0162731
         217    0.527458    0.680288   0.0162135
         218    0.527765    0.679589   0.0161542
         219    0.528236    0.678898   0.0160953
         220    0.528869    0.678216   0.0160365
         221    0.529665    0.677543   0.0159781
         222     0.53062    0.676882   0.0159198
         223    0.531732    0.676231   0.0158617
         224    0.532997    0.675591   0.0158038
         225     0.53441    0.674964    0.015746
         226    0.535965    0.674349   0.0156883
         227    0.537656    0.673747   0.0156308
         228    0.539476    0.673158   0.0155733
         229    0.541418    0.672582   0.0155159
         230    0.543474    0.672021   0.0154586
         231    0.545633    0.671474   0.0154014
         232    0.547889    0.670941   0.0153442
         233     0.55023    0.670423   0.0152871
         234    0.552648     0.66992     0.01523
         235    0.555133    0.669431    0.015173
         236    0.557675    0.668958   0.0151161
         237    0.560265    0.668499   0.0150593
         238    0.562892    0.668055   0.0150026
         239    0.565547    0.667627   0.0149459
         240    0.568221    0.667212   0.0148894
         241    0.570904    0.666813    0.014833
         242    0.573587    0.666428   0.0147767
         243    0.576262    0.666056   0.0147205
         244    0.578922    0.665699   0.0146645
         245     0.58156    0.665356   0.0146087
         246    0.584167    0.665026    0.014553
         247    0.586739    0.664709   0.0144976
         248    0.589267    0.664405   0.0144423
         249    0.591747    0.664113   0.0143873
         250    0.594175    0.663833   0.0143324
         251    0.596545    0.663565   0.0142778
         252    0.598853    0.663308   0.0142235
         253    0.601098    0.663062   0.0141694
         254    0.603275    0.662827   0.0141156
         255    0.605383    0.662602    0.014062
         256    0.607419    0.662386   0.0140087
         257    0.609383     0.66218   0.0139557
         258    0.611273    0.661983    0.013903
         259    0.613088    0.661794   0.0138506
         260    0.614828    0.661613   0.0137985
         261    0.616495     0.66144   0.0137468
         262    0.618088    0.661275   0.0136953
         263     0.61961    0.661116   0.0136441
         264     0.62106    0.660965   0.0135933
         265    0.622442    0.660819   0.0135428
         266    0.623757     0.66068   0.0134926
         267    0.625007    0.660546   0.0134427
         268    0.626195    0.660418   0.0133932
         269    0.627323    0.660295   0.0133439
         270    0.628395    0.660177    0.013295
         271    0.629413    0.660064   0.0132465
         272    0.630382    0.659954   0.0131982
         273    0.631303     0.65985   0.0131503
         274    0.632179    0.659749   0.0131027
         275    0.633013    0.659651   0.0130554
         276     0.63381    0.659558   0.0130084
         277    0.634571    0.659467   0.0129618
         278    0.635301    0.659381   0.0129154
         279    0.636002    0.659297   0.0128694
         280    0.636677    0.659216   0.0128237
         281    0.637328    0.659138   0.0127783
         282    0.637958    0.659063   0.0127332
         283    0.638568    0.658991   0.0126884
         284    0.639161    0.658921   0.0126439
         285    0.639738    0.658853   0.0125998
         286    0.640302    0.658789   0.0125559
         287    0.640852    0.658726   0.0125123
         288    0.641391    0.658666    0.012469
         289    0.641919    0.658608    0.012426
         290    0.642436    0.658552   0.0123832
         291    0.642942    0.658498   0.0123408
         292    0.643437    0.658447   0.0122987
         293     0.64392    0.658397   0.0122568
         294    0.644391     0.65835   0.0122152
         295    0.644846    0.658304   0.0121739
         296    0.645287     0.65826   0.0121328
         297    0.645712    0.658218    0.012092
         298     0.64612    0.658177   0.0120515
         299    0.646507    0.658138   0.0120113
         300    0.646872    0.658101   0.0119713
         301    0.647213    0.658064   0.0119316
         302    0.647526    0.658029   0.0118921
         303    0.647809    0.657996   0.0118529
         304    0.648061    0.657963    0.011814
         305    0.648277    0.657931   0.0117753
         306    0.648455      0.6579   0.0117368
         307    0.648594     0.65787   0.0116987
         308    0.648689     0.65784   0.0116607
         309    0.648739    0.657811    0.011623
         310    0.648742    0.657781   0.0115856
         311    0.648693    0.657752   0.0115483
         312     0.64859    0.657723   0.0115114
         313    0.648431    0.657693   0.0114746
         314    0.648214    0.657663   0.0114381
         315    0.647935    0.657632   0.0114018
         316    0.647594      0.6576   0.0113658
         317    0.647188    0.657568     0.01133
         318    0.646715    0.657533   0.0112944
         319    0.646175    0.657498   0.0112591
         320    0.645567    0.657461    0.011224
         321    0.644889    0.657421   0.0111891
         322    0.644142     0.65738   0.0111544
         323    0.643325    0.657337   0.0111199
         324     0.64244    0.657291   0.0110857
         325    0.641486    0.657242   0.0110517
         326    0.640466    0.657191   0.0110179
         327    0.639381    0.657136   0.0109844
         328    0.638235    0.657078    0.010951
         329    0.637031    0.657018   0.0109179
         330    0.635772    0.656953    0.010885
         331    0.634461    0.656885   0.0108523
         332    0.633105    0.656814   0.0108199
         333    0.631707    0.656738   0.0107877
         334    0.630276    0.656659   0.0107557
         335    0.628818    0.656576   0.0107239
         336    0.627341    0.656489   0.0106923
         337    0.625853    0.656398    0.010661
         338    0.624363    0.656303   0.0106298
         339    0.622879    0.656205   0.0105989
         340    0.621411    0.656102   0.0105683
         341    0.619969    0.655996   0.0105378
         342    0.618564    0.655887   0.0105076
         343    0.617207    0.655774   0.0104775
         344    0.615906    0.655658   0.0104477
         345    0.614672    0.655539   0.0104181
         346    0.613513    0.655418   0.0103887
         347    0.612439    0.655294   0.0103595
         348    0.611458    0.655168   0.0103305
         349     0.61058     0.65504   0.0103017
         350     0.60981    0.654911   0.0102731
         351    0.609155    0.654781   0.0102446
         352     0.60862     0.65465   0.0102164
         353    0.608209    0.654518   0.0101883
         354    0.607926    0.654386   0.0101603
         355    0.607772    0.654255   0.0101326
         356    0.607748    0.654124   0.0101049
         357    0.607855    0.653995   0.0100775
         358     0.60809    0.653867   0.0100501
         359    0.608451     0.65374   0.0100229
         360    0.608935    0.653616  0.00999587
         361    0.609537    0.653494  0.00996893
         362    0.610252    0.653374  0.00994211
         363    0.611072    0.653258   0.0099154
         364    0.611992    0.653144  0.00988881
         365    0.613003    0.653034  0.00986233
         366    0.614098    0.652928  0.00983595
         367    0.615269    0.652825  0.00980969
         368    0.616507    0.652726  0.00978353
         369    0.617803    0.652632  0.00975747
         370    0.619149    0.652541  0.00973152
         371    0.620535    0.652455  0.00970567
         372    0.621953    0.652373  0.00967993
         373    0.623394    0.652295  0.00965429
         374    0.624849    0.652222  0.00962875
         375     0.62631    0.652153  0.00960333
         376     0.62777    0.652088    0.009578
         377     0.62922    0.652027  0.00955279
         378    0.630652    0.651971  0.00952769
         379     0.63206    0.651918  0.00950269
         380    0.633438     0.65187  0.00947781
         381    0.634778    0.651825  0.00945304
         382    0.636078    0.651784  0.00942838
         383     0.63733    0.651746  0.00940384
         384    0.638531    0.651711  0.00937941
         385    0.639675     0.65168   0.0093551
         386    0.640759    0.651652  0.00933091
         387    0.641781    0.651626  0.00930684
         388    0.642736    0.651603  0.00928288
         389    0.643623    0.651583  0.00925904
         390    0.644439    0.651565  0.00923531
         391    0.645181    0.651548  0.00921171
         392    0.645848    0.651534  0.00918822
         393    0.646438    0.651521  0.00916485
         394     0.64695    0.651509   0.0091416
         395    0.647384    0.651499  0.00911846
         396    0.647739    0.651489  0.00909544
         397    0.648015    0.651481  0.00907253
         398    0.648209    0.651472  0.00904974
         399    0.648323    0.651464  0.00902706
         400    0.648358    0.651457   0.0090045
         401    0.648312    0.651449  0.00898205
         402    0.648187    0.651441  0.00895971
         403    0.647983    0.651432  0.00893748
         404    0.647701    0.651423  0.00891536
         405    0.647342    0.651413  0.00889335
         406    0.646907    0.651402  0.00887145
         407    0.646398    0.651389  0.00884967
         408    0.645815    0.651376  0.00882799
         409    0.645161    0.651361  0.00880641
         410    0.644439    0.651344  0.00878495
         411    0.643651    0.651325   0.0087636
         412    0.642798    0.651304  0.00874235
         413    0.641883    0.651281  0.00872121
         414    0.640908    0.651256  0.00870018
         415    0.639878    0.651229  0.00867926
         416    0.638795    0.651199  0.00865845
         417    0.637662    0.651167  0.00863775
         418    0.636485    0.651131  0.00861715
         419    0.635267    0.651094  0.00859667
         420    0.634013    0.651053   0.0085763
         421    0.632729    0.651009  0.00855604
         422    0.631419    0.650963  0.00853589
         423     0.63009    0.650914  0.00851585
         424    0.628747    0.650861  0.00849593
         425    0.627397    0.650806  0.00847612
         426    0.626047    0.650748  0.00845642
         427    0.624704    0.650687  0.00843683
         428    0.623376    0.650623  0.00841736
         429    0.622069    0.650557  0.00839801
         430    0.620791    0.650487  0.00837876
         431    0.619551    0.650416  0.00835963
         432    0.618354    0.650341  0.00834061
         433    0.617208    0.650265   0.0083217
         434    0.616119    0.650186  0.00830289
         435    0.615095    0.650106   0.0082842
         436    0.614143    0.650023  0.00826561
         437    0.613268    0.649939  0.00824712
         438    0.612473    0.649853  0.00822874
         439    0.611765    0.649767  0.00821045
         440    0.611145    0.649679  0.00819226
         441    0.610619     0.64959  0.00817416
         442    0.610187    0.649501  0.00815615
         443     0.60985    0.649412  0.00813823
         444    0.609608    0.649322   0.0081204
         445    0.609462    0.649232  0.00810264
         446    0.609407    0.649143  0.00808497
         447    0.609442    0.649054  0.00806737
         448    0.609564    0.648966  0.00804984
         449    0.609771    0.648879  0.00803239
         450    0.610054    0.648793    0.008015
         451    0.610409    0.648708  0.00799768
         452     0.61083    0.648624  0.00798043
         453     0.61131    0.648541  0.00796323
         454    0.611841    0.648461   0.0079461
         455    0.612418    0.648381  0.00792904
         456    0.613034    0.648304  0.00791203
         457    0.613681    0.648228  0.00789508
         458    0.614352    0.648154  0.00787818
         459     0.61504    0.648082  0.00786135
         460    0.615736    0.648012  0.00784458
         461    0.616436    0.647943  0.00782786
         462    0.617131    0.647876   0.0078112
         463    0.617817    0.647812   0.0077946
         464    0.618487    0.647748  0.00777805
         465    0.619137    0.647687  0.00776157
         466    0.619761    0.647627  0.00774515
         467    0.620355    0.647568  0.00772878
         468    0.620913    0.647512  0.00771248
         469    0.621434    0.647456  0.00769623
         470    0.621914    0.647402  0.00768005
         471     0.62235    0.647348  0.00766393
         472     0.62274    0.647296  0.00764787
         473    0.623082    0.647245  0.00763187
         474    0.623376    0.647195  0.00761594
         475    0.623621    0.647145  0.00760006
         476    0.623815    0.647096  0.00758426
         477    0.623957    0.647048  0.00756851
         478    0.624048    0.646999  0.00755283
         479    0.624088    0.646952  0.00753721
         480    0.624076    0.646904  0.00752166
         481    0.624014    0.646856  0.00750618
         482    0.623903    0.646809  0.00749075
         483    0.623745    0.646761   0.0074754
         484    0.623542    0.646713  0.00746011
         485    0.623294    0.646665  0.00744488
         486    0.623003    0.646616  0.00742972
         487    0.622669    0.646567  0.00741463
         488    0.622296    0.646517   0.0073996
         489    0.621885    0.646467  0.00738464
         490    0.621438    0.646416  0.00736975
         491    0.620957    0.646364  0.00735492
         492    0.620443    0.646311  0.00734016
         493    0.619899    0.646258  0.00732546
         494    0.619325    0.646203  0.00731084
         495    0.618726    0.646148  0.00729628
         496    0.618103    0.646091  0.00728179
         497    0.617457    0.646033  0.00726737
         498    0.616791    0.645975  0.00725301
         499    0.616106    0.645915  0.00723872
         500    0.615405    0.645854   0.0072245
         501    0.614689    0.645792  0.00721035
         502    0.613962    0.645728  0.00719626
         503    0.613224    0.645664  0.00718225
         504    0.612478    0.645598   0.0071683
         505    0.611725    0.645531  0.00715442
         506    0.610969    0.645462  0.00714061
         507    0.610211    0.645393  0.00712686
         508    0.609453    0.645322  0.00711318
         509    0.608698     0.64525  0.00709957
         510    0.607947    0.645177  0.00708603
         511    0.607205    0.645103  0.00707255
         512    0.606473    0.645027  0.00705914
         513    0.605753    0.644951  0.00704579
         514    0.605049    0.644873  0.00703251
