#   N_BLOCK:  ACCEPTANCE:
           1    0.537622
           2    0.537616
           3    0.537743
           4    0.537705
           5    0.537739
           6    0.537761
           7    0.537757
           8     0.53773
           9    0.537715
          10    0.537736
          11    0.537764
          12    0.537787
          13    0.537779
          14    0.537775
          15    0.537775
          16    0.537803
          17    0.537824
          18    0.537844
          19    0.537831
          20    0.537854
