#   N_BLOCK:  ACCEPTANCE:
           1     0.47199
           2    0.471683
           3     0.47179
           4     0.47158
           5    0.471554
           6     0.47147
           7    0.471416
           8    0.471397
           9    0.471347
          10    0.471377
          11    0.471468
          12    0.471428
          13    0.471413
          14     0.47144
          15    0.471412
          16    0.471394
          17    0.471389
          18     0.47138
          19    0.471381
          20     0.47139
