#   N_BLOCK:  ACCEPTANCE:
           1    0.517372
           2    0.517418
           3    0.517484
           4    0.517357
           5    0.517364
           6    0.517331
           7    0.517287
           8    0.517266
           9    0.517252
          10    0.517266
          11    0.517335
          12    0.517364
          13    0.517352
          14    0.517373
          15    0.517369
          16    0.517365
          17    0.517398
          18    0.517414
          19    0.517415
          20    0.517427
