#   N_BLOCK:  ACCEPTANCE:
           1    0.238212
           2    0.238038
           3    0.237984
           4     0.23804
           5    0.238136
           6    0.238159
           7    0.238216
           8    0.238218
           9    0.238166
          10    0.238225
          11    0.238265
          12    0.238267
          13    0.238256
          14      0.2383
          15    0.238342
          16    0.238292
          17    0.238278
          18    0.238335
          19    0.238314
          20    0.238299
