#   N_BLOCK:  ACCEPTANCE:
           1    0.279527
           2    0.279369
           3    0.279307
           4    0.279341
           5    0.279456
           6    0.279418
           7    0.279421
           8    0.279435
           9    0.279314
          10    0.279309
          11    0.279371
          12    0.279253
          13    0.279219
          14    0.279261
          15    0.279322
          16    0.279272
          17    0.279236
          18    0.279254
          19    0.279223
          20    0.279227
