#   N_BLOCK:  ACCEPTANCE:
           1    0.107731
           2    0.107741
           3    0.107628
           4    0.107604
           5    0.107669
           6     0.10777
           7    0.107747
           8    0.107693
           9    0.107651
          10    0.107632
          11     0.10771
          12     0.10769
          13    0.107742
          14     0.10786
          15    0.107848
          16    0.107963
          17    0.107965
          18    0.107999
          19    0.107979
          20    0.108002
