#   N_BLOCK:  ACCEPTANCE:
           1    0.317613
           2    0.317308
           3    0.317267
           4    0.317557
           5    0.317661
           6    0.317663
           7    0.317713
           8    0.317823
           9    0.317728
          10    0.317763
          11    0.317858
          12    0.317758
          13    0.317776
          14    0.317802
          15    0.317827
          16    0.317797
          17    0.317784
          18    0.317789
          19    0.317754
          20    0.317762
