#   N_BLOCK:  ACCEPTANCE:
           1    0.495683
           2    0.495551
           3    0.495569
           4     0.49534
           5     0.49537
           6    0.495274
           7     0.49524
           8    0.495184
           9    0.495194
          10     0.49521
          11    0.495251
          12    0.495243
          13    0.495255
          14    0.495267
          15    0.495268
          16    0.495266
          17    0.495296
          18    0.495321
          19    0.495311
          20     0.49532
