#   N_BLOCK:  ACCEPTANCE:
           1     0.41696
           2    0.417321
           3    0.417217
           4    0.417117
           5    0.417121
           6    0.417153
           7    0.417135
           8     0.41719
           9    0.417171
          10    0.417205
          11    0.417229
          12    0.417183
          13    0.417167
          14    0.417191
          15    0.417165
          16    0.417155
          17     0.41716
          18    0.417192
          19    0.417208
          20    0.417224
