#   N_BLOCK:  ACCEPTANCE:
           1    0.445684
           2    0.445573
           3    0.445644
           4    0.445545
           5    0.445464
           6     0.44542
           7    0.445384
           8    0.445392
           9    0.445366
          10    0.445366
          11    0.445396
          12    0.445358
          13    0.445391
          14    0.445454
          15    0.445433
          16    0.445413
          17    0.445421
          18    0.445433
          19    0.445447
          20    0.445455
