#   N_BLOCK:  ACCEPTANCE:
           1     0.19532
           2    0.195139
           3    0.195425
           4    0.195496
           5    0.195629
           6    0.195622
           7    0.195554
           8    0.195574
           9    0.195352
          10    0.195336
          11    0.195416
          12    0.195342
          13    0.195359
          14     0.19538
          15    0.195476
          16    0.195462
          17    0.195391
          18    0.195399
          19    0.195401
          20    0.195438
