#   N_BLOCK:  ACCEPTANCE:
           1   0.0262725
           2   0.0258929
           3   0.0262321
           4   0.0260906
           5   0.0258851
           6   0.0258362
           7   0.0254221
           8   0.0255345
           9   0.0254519
          10    0.025494
          11    0.025541
          12   0.0255855
          13   0.0256601
          14   0.0256424
          15   0.0257254
          16   0.0257805
          17   0.0257142
          18   0.0258008
          19   0.0258509
          20   0.0259157
