#   N_BLOCK:  ACCEPTANCE:
           1     0.15098
           2    0.150881
           3    0.151479
           4    0.151563
           5    0.151768
           6    0.151829
           7    0.151696
           8    0.151671
           9    0.151599
          10    0.151514
          11    0.151633
          12    0.151552
          13    0.151555
          14    0.151593
          15    0.151604
          16     0.15162
          17    0.151609
          18    0.151605
          19    0.151604
          20    0.151644
