#   N_BLOCK:  ACCEPTANCE:
           1    0.353492
           2    0.353547
           3    0.353324
           4    0.353335
           5    0.353346
           6    0.353445
           7    0.353483
           8    0.353586
           9    0.353525
          10     0.35354
          11      0.3536
          12    0.353566
          13    0.353535
          14    0.353581
          15    0.353583
          16    0.353562
          17    0.353553
          18    0.353566
          19     0.35358
          20    0.353586
