#   N_BLOCK:  ACCEPTANCE:
           1   0.0657785
           2   0.0653341
           3   0.0656946
           4   0.0654706
           5   0.0655797
           6    0.065103
           7    0.064923
           8   0.0646713
           9   0.0646273
          10   0.0645533
          11   0.0646729
          12   0.0647024
          13   0.0646002
          14    0.064595
          15   0.0647324
          16   0.0647464
          17   0.0646639
          18   0.0646052
          19   0.0646134
          20   0.0646523
