#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -0.54688   -0.511872  0.00134922
         153   -0.547149   -0.512103  0.00135996
         154   -0.547369   -0.512332  0.00137028
         155    -0.54755   -0.512559  0.00138015
         156    -0.54769   -0.512784  0.00138955
         157   -0.547793   -0.513007  0.00139848
         158   -0.547863   -0.513228  0.00140692
         159   -0.547895   -0.513446  0.00141486
         160   -0.547889   -0.513661   0.0014223
         161   -0.547854   -0.513873  0.00142924
         162   -0.547776   -0.514083  0.00143565
         163   -0.547672   -0.514289  0.00144156
         164    -0.54754   -0.514491  0.00144696
         165   -0.547376   -0.514691  0.00145185
         166   -0.547183   -0.514886  0.00145624
         167   -0.546965   -0.515079  0.00146013
         168   -0.546722   -0.515267  0.00146354
         169   -0.546451   -0.515451  0.00146646
         170   -0.546149   -0.515632  0.00146891
         171   -0.545826   -0.515809   0.0014709
         172   -0.545478   -0.515981  0.00147243
         173   -0.545107   -0.516149  0.00147351
         174   -0.544709   -0.516314  0.00147415
         175   -0.544291   -0.516473  0.00147437
         176   -0.543854   -0.516629  0.00147418
         177   -0.543394    -0.51678  0.00147359
         178   -0.542913   -0.516927   0.0014726
         179   -0.542414   -0.517069  0.00147124
         180   -0.541895   -0.517207  0.00146952
         181   -0.541361   -0.517341  0.00146745
         182    -0.54081    -0.51747  0.00146504
         183   -0.540247   -0.517594  0.00146231
         184   -0.539665   -0.517714  0.00145928
         185   -0.539069    -0.51783  0.00145595
         186   -0.538452    -0.51794  0.00145233
         187   -0.537826   -0.518047  0.00144846
         188   -0.537191   -0.518149  0.00144433
         189   -0.536534   -0.518246  0.00143996
         190   -0.535875   -0.518339  0.00143536
         191   -0.535204   -0.518427  0.00143056
         192    -0.53453   -0.518511  0.00142557
         193   -0.533846    -0.51859  0.00142039
         194   -0.533157   -0.518665  0.00141506
         195   -0.532462   -0.518736  0.00140957
         196   -0.531764   -0.518803  0.00140394
         197   -0.531066   -0.518865  0.00139819
         198   -0.530363   -0.518923  0.00139234
         199   -0.529658   -0.518977  0.00138639
         200   -0.528951   -0.519027  0.00138035
         201   -0.528248   -0.519073  0.00137425
         202   -0.527549   -0.519115  0.00136808
         203   -0.526854   -0.519153  0.00136187
         204   -0.526163   -0.519187  0.00135563
         205   -0.525477   -0.519218  0.00134937
         206   -0.524796   -0.519245  0.00134309
         207   -0.524126   -0.519268  0.00133681
         208   -0.523458   -0.519289  0.00133053
         209   -0.522797   -0.519305  0.00132427
         210    -0.52214   -0.519319  0.00131803
         211   -0.521494   -0.519329  0.00131183
         212   -0.520857   -0.519336  0.00130566
         213   -0.520227   -0.519341  0.00129954
