#  BLOCK      BIN       VELOCITY     AVE_POFV    CUM_POFV      ERROR
       6      12        3.33333       0.104167       0.127315     0.00668229
       6      13            3.6      0.0347222      0.0347222              0
       6      14        3.86667      0.0694444      0.0694444              0
       6      15        4.13333      0.0347222      0.0347222              0
       6      16            4.4              0              0              0
       6      17        4.66667              0              0              0
       6      18        4.93333              0              0              0
       6      19            5.2              0              0              0
       6      20        5.46667              0              0              0
       6      21        5.73333              0              0              0
       6      22              6              0              0              0
       6      23        6.26667              0              0              0
       6      24        6.53333              0              0              0
       6      25            6.8              0              0              0
       6      26        7.06667              0              0              0
       6      27        7.33333              0              0              0
       6      28            7.6              0              0              0
       6      29        7.86667              0              0              0
       7       0       0.133333              0              0              0
       7       1            0.4      0.0347222      0.0347222              0
       7       2       0.666667       0.104167       0.104167              0
       7       3       0.933333         0.3125         0.3125              0
       7       4            1.2       0.381944       0.381944              0
       7       5        1.46667          0.625          0.625              0
       7       6        1.73333       0.555556       0.555556              0
       7       7              2       0.347222       0.372024     0.00592871
       7       8        2.26667       0.486111       0.451389     0.00992063
       7       9        2.53333       0.243056       0.252976     0.00592871
       7      10            2.8         0.3125        0.31746     0.00459236
       7      11        3.06667       0.104167      0.0793651     0.00918472
       7      12        3.33333       0.104167       0.124008     0.00649458
       7      13            3.6      0.0347222      0.0347222              0
       7      14        3.86667      0.0694444      0.0694444              0
       7      15        4.13333      0.0347222      0.0347222              0
       7      16            4.4              0              0              0
       7      17        4.66667              0              0              0
       7      18        4.93333              0              0              0
       7      19            5.2              0              0              0
       7      20        5.46667              0              0              0
       7      21        5.73333              0              0              0
       7      22              6              0              0              0
       7      23        6.26667              0              0              0
       7      24        6.53333              0              0              0
       7      25            6.8              0              0              0
       7      26        7.06667              0              0              0
       7      27        7.33333              0              0              0
       7      28            7.6              0              0              0
       7      29        7.86667              0              0              0
       8       0       0.133333              0              0              0
       8       1            0.4      0.0347222      0.0347222              0
       8       2       0.666667       0.104167       0.104167              0
       8       3       0.933333         0.3125         0.3125              0
       8       4            1.2       0.416667       0.386285     0.00405996
       8       5        1.46667       0.590278        0.62066     0.00405996
       8       6        1.73333       0.555556       0.555556              0
       8       7              2       0.347222       0.368924     0.00594317
       8       8        2.26667       0.486111       0.455729     0.00958307
       8       9        2.53333       0.243056       0.251736     0.00531573
       8      10            2.8         0.3125        0.31684     0.00405996
       8      11        3.06667       0.104167      0.0824653     0.00854385
       8      12        3.33333       0.104167       0.121528     0.00613808
       8      13            3.6      0.0347222      0.0347222              0
       8      14        3.86667      0.0694444      0.0694444              0
       8      15        4.13333      0.0347222      0.0347222              0
       8      16            4.4              0              0              0
       8      17        4.66667              0              0              0
       8      18        4.93333              0              0              0
       8      19            5.2              0              0              0
       8      20        5.46667              0              0              0
       8      21        5.73333              0              0              0
       8      22              6              0              0              0
       8      23        6.26667              0              0              0
       8      24        6.53333              0              0              0
       8      25            6.8              0              0              0
       8      26        7.06667              0              0              0
       8      27        7.33333              0              0              0
       8      28            7.6              0              0              0
       8      29        7.86667              0              0              0
       9       0       0.133333              0              0              0
       9       1            0.4      0.0347222      0.0347222              0
       9       2       0.666667       0.104167       0.104167              0
       9       3       0.933333         0.3125         0.3125              0
       9       4            1.2       0.416667        0.38966      0.0048118
       9       5        1.46667       0.590278       0.617284      0.0048118
       9       6        1.73333       0.555556       0.555556              0
       9       7              2       0.347222       0.366512      0.0057512
       9       8        2.26667       0.486111       0.459105     0.00909345
       9       9        2.53333       0.243056       0.250772      0.0048118
       9      10            2.8         0.3125       0.316358     0.00363738
       9      11        3.06667       0.104167      0.0848765     0.00792749
       9      12        3.33333       0.104167       0.119599      0.0057512
       9      13            3.6      0.0347222      0.0347222              0
       9      14        3.86667      0.0694444      0.0694444              0
       9      15        4.13333      0.0347222      0.0347222              0
       9      16            4.4              0              0              0
       9      17        4.66667              0              0              0
       9      18        4.93333              0              0              0
       9      19            5.2              0              0              0
       9      20        5.46667              0              0              0
       9      21        5.73333              0              0              0
       9      22              6              0              0              0
       9      23        6.26667              0              0              0
       9      24        6.53333              0              0              0
       9      25            6.8              0              0              0
       9      26        7.06667              0              0              0
       9      27        7.33333              0              0              0
       9      28            7.6              0              0              0
       9      29        7.86667              0              0              0
      10       0       0.133333              0              0              0
      10       1            0.4      0.0347222      0.0347222              0
      10       2       0.666667       0.104167       0.104167              0
      10       3       0.933333         0.3125         0.3125              0
      10       4            1.2       0.416667       0.392361     0.00503173
      10       5        1.46667       0.590278       0.614583     0.00503173
      10       6        1.73333       0.555556       0.555556              0
      10       7              2       0.347222       0.364583     0.00549007
      10       8        2.26667       0.486111       0.461806     0.00857576
      10       9        2.53333       0.243056           0.25     0.00439205
      10      10            2.8         0.3125       0.315972     0.00329404
      10      11        3.06667       0.104167      0.0868056      0.0073657
      10      12        3.33333       0.104167       0.118056     0.00537914
      10      13            3.6      0.0347222      0.0347222              0
      10      14        3.86667      0.0694444      0.0694444              0
      10      15        4.13333      0.0347222      0.0347222              0
      10      16            4.4              0              0              0
      10      17        4.66667              0              0              0
      10      18        4.93333              0              0              0
      10      19            5.2              0              0              0
      10      20        5.46667              0              0              0
      10      21        5.73333              0              0              0
      10      22              6              0              0              0
      10      23        6.26667              0              0              0
