#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.12594     2.12594           0
           2     2.12547     2.12571 0.000163322
           3     2.12503     2.12548 0.000214355
           4      2.1246     2.12526 0.000249957
           5     2.12418     2.12504 0.000277826
           6     2.12378     2.12483 0.000300664
           7      2.1234     2.12463 0.000319814
           8     2.12304     2.12443 0.000336088
           9     2.12269     2.12424 0.000350049
          10     2.12235     2.12405 0.000362117
          11     2.12203     2.12386 0.000372632
          12     2.12172     2.12369 0.000381878
          13     2.12142     2.12351 0.000390101
          14     2.12113     2.12334 0.000397522
          15     2.12085     2.12318 0.000404339
          16     2.12056     2.12301 0.000410731
          17     2.12028     2.12285 0.000416864
          18     2.11999     2.12269 0.000422889
          19      2.1197     2.12254 0.000428946
          20      2.1194     2.12238 0.000435163
          21     2.11909     2.12222 0.000441659
          22     2.11877     2.12207 0.000448541
          23     2.11844     2.12191 0.000455905
          24     2.11809     2.12175 0.000463838
          25     2.11772     2.12159 0.000472415
          26     2.11734     2.12142 0.000481701
          27     2.11693     2.12126 0.000491748
          28     2.11651     2.12109 0.000502597
          29     2.11606     2.12091 0.000514278
          30      2.1156     2.12074 0.000526808
          31     2.11511     2.12056 0.000540192
          32      2.1146     2.12037 0.000554422
          33     2.11408     2.12018 0.000569481
          34     2.11353     2.11998 0.000585341
          35     2.11297     2.11978 0.000601964
          36     2.11239     2.11958 0.000619303
          37     2.11179     2.11937 0.000637305
          38     2.11118     2.11915  0.00065591
          39     2.11056     2.11893 0.000675053
          40     2.10993     2.11871 0.000694667
          41     2.10929     2.11848  0.00071468
          42     2.10864     2.11824  0.00073502
          43     2.10799       2.118 0.000755616
          44     2.10733     2.11776 0.000776396
          45     2.10667     2.11752 0.000797289
          46     2.10601     2.11727 0.000818227
          47     2.10535     2.11701 0.000839146
          48      2.1047     2.11676 0.000859983
          49     2.10405      2.1165 0.000880679
          50      2.1034     2.11623 0.000901181
          51     2.10276     2.11597 0.000921438
          52     2.10212      2.1157 0.000941404
          53      2.1015     2.11544 0.000961037
          54     2.10088     2.11517   0.0009803
          55     2.10028      2.1149 0.000999159
          56     2.09968     2.11462  0.00101758
          57      2.0991     2.11435  0.00103555
          58     2.09852     2.11408  0.00105304
          59     2.09796     2.11381  0.00107002
          60     2.09742     2.11353  0.00108649
          61     2.09688     2.11326  0.00110243
          62     2.09636     2.11299  0.00111783
          63     2.09585     2.11271  0.00113269
          64     2.09536     2.11244    0.001147
          65     2.09488     2.11217  0.00116075
          66     2.09441      2.1119  0.00117394
          67     2.09396     2.11164  0.00118657
          68     2.09352     2.11137  0.00119865
          69      2.0931     2.11111  0.00121017
          70     2.09269     2.11084  0.00122114
          71      2.0923     2.11058  0.00123157
          72     2.09192     2.11032  0.00124145
          73     2.09155     2.11006  0.00125079
          74      2.0912     2.10981  0.00125961
          75     2.09086     2.10956   0.0012679
          76     2.09054     2.10931  0.00127568
          77     2.09023     2.10906  0.00128295
          78     2.08993     2.10881  0.00128973
          79     2.08965     2.10857  0.00129602
          80     2.08938     2.10833  0.00130183
          81     2.08912     2.10809  0.00130717
          82     2.08888     2.10786  0.00131206
          83     2.08865     2.10763   0.0013165
          84     2.08844      2.1074  0.00132051
          85     2.08824     2.10717  0.00132408
          86     2.08805     2.10695  0.00132723
          87     2.08787     2.10673  0.00132997
          88     2.08772     2.10652  0.00133229
          89     2.08758      2.1063  0.00133421
          90     2.08745     2.10609  0.00133572
          91     2.08735     2.10589  0.00133683
          92     2.08727     2.10569  0.00133752
          93     2.08722     2.10549   0.0013378
          94     2.08719     2.10529  0.00133765
          95     2.08719      2.1051  0.00133707
          96     2.08723     2.10492  0.00133604
          97     2.08731     2.10473  0.00133455
          98     2.08742     2.10456  0.00133257
          99     2.08759     2.10439  0.00133009
         100      2.0878     2.10422   0.0013271
         101     2.08807     2.10406  0.00132356
         102     2.08839     2.10391  0.00131946
         103     2.08879     2.10376  0.00131479
         104     2.08924     2.10362  0.00130954
         105     2.08977     2.10349  0.00130369
         106     2.09037     2.10337  0.00129725
         107     2.09105     2.10325  0.00129022
         108     2.09181     2.10314  0.00128262
         109     2.09264     2.10305  0.00127446
         110     2.09356     2.10296  0.00126579
         111     2.09455     2.10289  0.00125665
         112     2.09562     2.10282  0.00124711
         113     2.09677     2.10277  0.00123722
         114     2.09799     2.10273  0.00122707
         115     2.09928      2.1027  0.00121677
         116     2.10063     2.10268  0.00120641
         117     2.10204     2.10267  0.00119611
         118      2.1035     2.10268    0.001186
         119       2.105      2.1027  0.00117619
         120     2.10655     2.10273  0.00116683
         121     2.10812     2.10278  0.00115804
         122     2.10972     2.10283  0.00114994
         123     2.11134      2.1029  0.00114267
         124     2.11297     2.10298  0.00113634
         125     2.11459     2.10308  0.00113103
         126     2.11621     2.10318  0.00112685
         127     2.11782      2.1033  0.00112386
         128     2.11941     2.10342  0.00112211
         129     2.12097     2.10356  0.00112163
         130      2.1225      2.1037  0.00112243
         131       2.124     2.10386  0.00112451
         132     2.12546     2.10402  0.00112783
         133     2.12687     2.10419  0.00113236
         134     2.12823     2.10437  0.00113803
         135     2.12954     2.10456  0.00114476
         136      2.1308     2.10475  0.00115249
         137       2.132     2.10495  0.00116111
         138     2.13314     2.10515  0.00117053
         139     2.13423     2.10536  0.00118064
         140     2.13525     2.10558  0.00119136
         141     2.13622     2.10579  0.00120256
         142     2.13713     2.10602  0.00121417
         143     2.13797     2.10624  0.00122607
         144     2.13876     2.10646  0.00123818
         145     2.13949     2.10669  0.00125042
         146     2.14017     2.10692   0.0012627
         147     2.14079     2.10715  0.00127495
         148     2.14135     2.10738   0.0012871
         149     2.14186     2.10761   0.0012991
         150     2.14232     2.10785  0.00131088
         151     2.14273     2.10808   0.0013224
         152     2.14309     2.10831  0.00133361
         153     2.14341     2.10854  0.00134448
         154     2.14367     2.10877  0.00135497
         155      2.1439     2.10899  0.00136506
         156     2.14408     2.10922  0.00137472
         157     2.14423     2.10944  0.00138393
         158     2.14433     2.10966  0.00139268
         159     2.14439     2.10988  0.00140094
         160     2.14442     2.11009  0.00140873
         161     2.14442     2.11031  0.00141602
         162     2.14438     2.11052  0.00142281
         163     2.14431     2.11073   0.0014291
         164      2.1442     2.11093  0.00143489
         165     2.14407     2.11113  0.00144018
         166      2.1439     2.11133  0.00144497
         167     2.14371     2.11152  0.00144927
         168     2.14349     2.11171  0.00145308
         169     2.14324      2.1119  0.00145641
         170     2.14297     2.11208  0.00145927
         171     2.14267     2.11226  0.00146166
         172     2.14235     2.11244  0.00146359
         173       2.142     2.11261  0.00146507
         174     2.14163     2.11277  0.00146611
         175     2.14123     2.11294  0.00146673
         176     2.14082     2.11309  0.00146692
         177     2.14038     2.11325  0.00146672
         178     2.13992      2.1134  0.00146611
         179     2.13945     2.11354  0.00146512
         180     2.13895     2.11368  0.00146377
         181     2.13843     2.11382  0.00146205
         182      2.1379     2.11395  0.00145999
         183     2.13735     2.11408   0.0014576
         184     2.13678     2.11421  0.00145489
         185      2.1362     2.11432  0.00145187
         186      2.1356     2.11444  0.00144856
         187     2.13498     2.11455  0.00144498
         188     2.13436     2.11465  0.00144113
         189     2.13372     2.11475  0.00143703
         190     2.13307     2.11485   0.0014327
         191     2.13241     2.11494  0.00142815
         192     2.13174     2.11503  0.00142339
         193     2.13107     2.11511  0.00141844
         194     2.13038     2.11519  0.00141331
         195      2.1297     2.11527  0.00140801
         196       2.129     2.11534  0.00140257
         197      2.1283      2.1154    0.001397
         198      2.1276     2.11546   0.0013913
         199      2.1269     2.11552  0.00138549
         200      2.1262     2.11557  0.00137959
         201     2.12549     2.11562  0.00137361
         202     2.12479     2.11567  0.00136756
         203      2.1241     2.11571  0.00136146
         204      2.1234     2.11575   0.0013553
         205     2.12271     2.11578  0.00134912
         206     2.12202     2.11581  0.00134291
         207     2.12134     2.11584  0.00133669
         208     2.12067     2.11586  0.00133046
         209        2.12     2.11588  0.00132424
         210     2.11934      2.1159  0.00131804
         211     2.11868     2.11591  0.00131186
         212     2.11804     2.11592  0.00130571
         213      2.1174     2.11593   0.0012996
         214     2.11677     2.11593  0.00129353
         215     2.11614     2.11593  0.00128751
         216     2.11552     2.11593  0.00128155
