0		1.55599		0
1		1.57457		0.0185837
2		1.51935		0.056252
3		1.55245		0.0517452
4		1.57701		0.0470095
5		1.55546		0.0440167
6		1.52415		0.0486244
7		1.51055		0.0442517
8		1.49707		0.041291
9		1.48026		0.0405777
10		1.47678		0.0368681
11		1.46252		0.0365527
12		1.45737		0.0340156
13		1.45413		0.0316588
14		1.4513		0.0296082
15		1.45461		0.0278933
16		1.45587		0.0262316
17		1.45535		0.0247369
18		1.45934		0.0237367
19		1.46035		0.022541
20		1.46629		0.0222484
21		1.45941		0.0223
22		1.4644		0.0218862
23		1.46397		0.020959
24		1.47394		0.0224417
25		1.48286		0.0233321
26		1.48185		0.022474
27		1.4833		0.0217048
28		1.49557		0.0242767
29		1.49545		0.0234539
30		1.49388		0.0227388
31		1.48213		0.0249574
32		1.48986		0.025395
33		1.48417		0.0252855
34		1.47931		0.025028
35		1.49193		0.0274001
36		1.49594		0.0269499
37		1.49449		0.0262714
38		1.49356		0.0256057
39		1.49901		0.0255442
40		1.49519		0.0252033
41		1.49506		0.0245963
42		1.49489		0.0240181
43		1.50059		0.024148
44		1.49292		0.024821
45		1.49037		0.0244087
46		1.50342		0.0272144
47		1.49608		0.0276327
48		1.49543		0.0270707
49		1.49353		0.0265917
50		1.49324		0.0260667
51		1.49527		0.0256411
52		1.49685		0.0252024
53		1.4949		0.0248082
54		1.49859		0.0246314
55		1.49643		0.0242845
56		1.49302		0.0240966
57		1.49652		0.0239347
58		1.49582		0.023536
59		1.5025		0.0240854
60		1.50188		0.0236953
61		1.50096		0.0233282
62		1.49742		0.0232262
63		1.49534		0.0229548
64		1.49337		0.0226849
65		1.4941		0.0223504
66		1.49293		0.0220454
67		1.49283		0.021719
68		1.49638		0.0216937
69		1.49384		0.0215318
70		1.49618		0.0213549
71		1.49334		0.0212475
72		1.49179		0.0210113
73		1.49097		0.0207416
74		1.4864		0.0209685
75		1.48442		0.0207846
76		1.48412		0.0205152
77		1.48524		0.0202813
78		1.48572		0.0200287
79		1.48331		0.0199238
80		1.48404		0.0196898
81		1.47921		0.0200372
82		1.48137		0.0199113
83		1.48174		0.0196765
84		1.48129		0.0194489
85		1.48097		0.019224
86		1.47989		0.0190324
87		1.47885		0.0188438
88		1.47804		0.0186486
89		1.47753		0.0184471
90		1.4779		0.018247
91		1.47649		0.0181026
92		1.47374		0.0181174
93		1.47324		0.0179306
94		1.47146		0.0178301
95		1.46972		0.0177289
96		1.47045		0.0175604
97		1.46951		0.0174054
98		1.46842		0.0172636
99		1.47196		0.0174542
100		1.47726		0.0180741
101		1.47728		0.017896
102		1.47641		0.0177427
103		1.47361		0.0177934
104		1.47278		0.0176427
105		1.47219		0.0174853
106		1.47166		0.0173294
107		1.47026		0.0172251
108		1.46961		0.0170787
109		1.46872		0.0169457
110		1.46744		0.0168413
111		1.46626		0.0167317
112		1.468		0.0166734
113		1.4661		0.0166348
114		1.46567		0.0164952
115		1.46543		0.0163541
116		1.46815		0.0164398
117		1.46945		0.0163519
118		1.4686		0.0162364
119		1.46918		0.0161112
120		1.46833		0.0160001
121		1.46915		0.0158895
122		1.46973		0.0157704
123		1.47036		0.0156551
124		1.47063		0.0155317
125		1.47287		0.0155702
126		1.47172		0.0154894
127		1.47257		0.0153914
128		1.47203		0.0152811
129		1.47197		0.0151632
130		1.47364		0.015139
131		1.47129		0.0152071
132		1.47078		0.0151008
133		1.46965		0.0150305
134		1.47045		0.0149402
135		1.4702		0.014832
136		1.47069		0.0147317
137		1.473		0.0148051
138		1.47434		0.014759
139		1.47467		0.014657
140		1.474		0.0145682
141		1.47538		0.0145303
142		1.47665		0.0144844
143		1.47802		0.0144484
144		1.47894		0.0143779
145		1.47738		0.0143642
146		1.47745		0.0142663
147		1.47841		0.0142025
148		1.4798		0.0141751
149		1.47987		0.0140805
150		1.47978		0.0139872
151		1.4794		0.0139001
152		1.47883		0.0138208
153		1.48037		0.0138174
154		1.47937		0.0137644
155		1.47801		0.0137438
156		1.47807		0.0136561
157		1.47715		0.0136009
158		1.47771		0.0135265
159		1.47747		0.0134438
160		1.47585		0.0134584
161		1.47387		0.0135198
162		1.47261		0.0134959
163		1.47447		0.0135412
164		1.47388		0.0134718
165		1.47373		0.0133912
166		1.47353		0.0133123
167		1.47473		0.0132869
168		1.47661		0.0133413
169		1.47712		0.0132725
170		1.47638		0.0132153
171		1.477		0.0131529
172		1.47767		0.013094
173		1.47808		0.0130249
174		1.47831		0.0129522
175		1.47726		0.0129206
176		1.47873		0.0129308
177		1.4798		0.0129029
178		1.47944		0.0128358
179		1.47855		0.0127952
180		1.47835		0.0127259
181		1.47789		0.0126642
182		1.47873		0.0126227
183		1.48191		0.0129523
184		1.4814		0.0128922
185		1.48193		0.0128333
186		1.484		0.0129323
187		1.48512		0.0129115
188		1.4859		0.0128669
189		1.48495		0.0128342
190		1.48653		0.0128644
191		1.48716		0.0128128
192		1.48647		0.012765
193		1.48728		0.0127245
194		1.48791		0.0126749
195		1.48899		0.0126563
196		1.48896		0.0125919
197		1.49		0.0125709
198		1.4892		0.0125331
199		1.49051		0.0125393
