-0.754701 -0.660164 0.459299
-0.800472 -0.516495 0.869357
-0.800472 -0.516495 0.869357
-0.248376 -1.47422 0.206006
-0.68991 -1.3825 -0.75939
-1.56062 -0.873197 -1.29308
-1.57417 -0.361102 -1.3348
-2.05838 -0.882565 -1.39121
-1.82477 -0.721629 -2.2233
-0.961035 -0.213525 -2.21958
-0.589023 -0.474824 -1.91568
-0.232263 -1.2784 -2.67376
-0.0777251 -0.598385 -3.56823
-0.0777251 -0.598385 -3.56823
0.759986 0.281366 -2.94166
0.0275933 -0.611675 -2.51482
0.998544 -0.813632 -2.96931
1.07484 -1.24925 -3.00626
0.504281 -2.21353 -3.77774
0.0223367 -2.93258 -2.97322
-0.498471 -2.26917 -2.47568
-1.09603 -2.95097 -2.12582
-1.29621 -3.29726 -1.1529
-1.42244 -4.23987 -0.461365
-1.27039 -3.53246 -0.0580296
-1.7105 -2.65938 0.84553
-0.946656 -3.07854 1.40938
-0.286203 -2.35624 1.8866
-0.765336 -1.64284 1.9822
-0.589529 -1.39558 2.39138
-0.906257 -0.875494 1.47021
-0.906257 -0.875494 1.47021
-1.79312 -1.71986 0.644028
-1.207 -2.50208 0.336696
-1.32392 -1.62881 1.16899
-2.16808 -2.08972 1.97375
-1.51952 -1.79746 1.34861
-2.39935 -2.53378 0.374529
-3.09632 -1.57858 1.02246
-2.10742 -0.79503 0.914881
-1.91061 -1.29813 1.4315
-1.91899 -0.523156 1.1495
-1.33161 -0.959456 1.7676
-0.935001 -0.756146 2.25258
-1.93487 -0.443111 1.84531
-1.68629 -0.181079 1.06614
-1.87022 0.70849 1.49458
-1.10135 0.0871956 2.43344
-1.10135 0.0871956 2.43344
-0.865062 -0.613402 2.51085
-0.784754 -0.862294 2.83663
-1.41916 -1.84515 2.68859
-2.00168 -2.77993 2.3413
-1.97639 -2.84118 2.38192
-2.8706 -2.70373 3.18944
-3.28549 -2.51533 2.64275
-4.13414 -3.27955 1.67637
-4.87579 -2.95442 1.36727
-4.87579 -2.95442 1.36727
-4.87579 -2.95442 1.36727
-4.94717 -3.54838 2.00753
-4.94717 -3.54838 2.00753
-4.73389 -2.95634 1.58508
-5.10034 -2.9711 2.05952
-5.42116 -2.97777 2.58384
-5.29476 -3.59552 2.91833
-6.03766 -3.20164 2.89841
-6.16813 -2.87785 2.91279
-6.39157 -3.66045 1.9431
-6.93696 -3.7694 1.67362
-6.93696 -3.7694 1.67362
-6.38772 -3.44945 0.904015
-6.18628 -3.6718 1.03965
-5.69812 -3.44268 1.63549
-6.67831 -3.76469 1.70477
-7.07021 -3.58247 2.61703
-6.07502 -4.45414 3.18391
-6.2671 -4.67754 2.52305
-5.51698 -5.05826 1.80949
-4.75158 -4.6053 2.15786
