#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1              0.1978              0.1978                   0
         2             0.19618             0.19699         0.000572686
         3            0.217282            0.203754          0.00553599
         4            0.199686            0.202737          0.00424436
         5            0.208834            0.203956          0.00356636
         6            0.187396            0.201196           0.0038963
         7            0.196784            0.200566          0.00339029
         8            0.192439             0.19955          0.00311498
         9            0.196271            0.199186           0.0027901
        10            0.214505            0.200718          0.00290132
        11            0.204882            0.201096          0.00266215
        12            0.209502            0.201797          0.00253079
        13            0.189259            0.200832          0.00251317
        14            0.209956            0.201484          0.00241668
        15            0.209355            0.202009          0.00231184
        16            0.186933            0.201066          0.00235154
        17            0.195791            0.200756          0.00223359
        18            0.198837             0.20065          0.00211204
        19            0.209626            0.201122          0.00205305
        20            0.208096            0.201471          0.00197979
