#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1           0.0897992           0.0897992                   0
         2           0.0895216           0.0896604         9.81464e-05
         3           0.0840566           0.0877925          0.00152656
         4            0.087121           0.0876246          0.00115412
         5            0.090681           0.0882359          0.00107303
         6           0.0777124            0.086482          0.00183387
         7           0.0870524           0.0865635           0.0015737
         8           0.0880112           0.0867444          0.00138735
         9           0.0825104            0.086274          0.00131054
        10           0.0882836           0.0864749           0.0011948
        11           0.0870798           0.0865299          0.00108744
        12             0.08842           0.0866874          0.00100817
        13           0.0919334            0.087091          0.00100815
        14           0.0931658           0.0875249          0.00102527
        15           0.0879856           0.0875556         0.000957381
        16           0.0791854           0.0870325          0.00103061
        17           0.0875524            0.087063         0.000970439
        18           0.0808582           0.0867183          0.00097583
        19            0.088477           0.0868109          0.00092885
        20           0.0882734            0.086884         0.000885282
