#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1           0.0435338           0.0435338                   0
         2           0.0438806           0.0437072         0.000122612
         3           0.0399684           0.0424609          0.00102085
         4           0.0422498           0.0424081         0.000767001
         5           0.0504188           0.0440103          0.00155883
         6           0.0421918           0.0437072          0.00132816
         7           0.0387496            0.042999          0.00131375
         8           0.0434184           0.0430514          0.00115058
         9            0.039828           0.0426932          0.00107704
        10            0.045834           0.0430073           0.0010141
        11           0.0411704           0.0428403         0.000935554
        12           0.0435132           0.0428964          0.00085927
        13            0.042475            0.042864         0.000793784
        14            0.047386            0.043187         0.000800107
        15           0.0435432           0.0432107         0.000747119
        16            0.040527            0.043043         0.000719006
        17           0.0412872           0.0429397          0.00068409
        18            0.041637           0.0428673         0.000649902
        19            0.045222           0.0429913         0.000627401
        20           0.0458156           0.0431325         0.000611717
