#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1            0.027255            0.027255                   0
         2           0.0271796           0.0272173         2.66579e-05
         3           0.0252354           0.0265567         0.000539698
         4           0.0265474           0.0265543         0.000404778
         5           0.0296408           0.0271716         0.000640077
         6            0.024644           0.0267504         0.000657576
         7           0.0241254           0.0263754         0.000661981
         8           0.0269728             0.02645          0.00058343
         9           0.0254574           0.0263398         0.000528927
        10            0.027229           0.0264287         0.000483452
        11            0.026772           0.0264599         0.000440508
        12           0.0273548           0.0265345         0.000410063
        13           0.0268014            0.026555         0.000379033
        14           0.0299568            0.026798          0.00042273
        15            0.027299           0.0268314         0.000395865
        16           0.0266902           0.0268226         0.000371222
        17           0.0272708           0.0268489          0.00035032
        18           0.0269822           0.0268563         0.000330936
        19            0.028726           0.0269547         0.000327822
        20           0.0299904           0.0271065         0.000344783
