#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1           0.0343162           0.0343162                   0
         2           0.0343448           0.0343305         1.01116e-05
         3           0.0306818           0.0331143         0.000993073
         4           0.0324096           0.0329381          0.00076027
         5           0.0363044           0.0336114         0.000855891
         6           0.0316594            0.033286         0.000772601
         7           0.0312502           0.0329952         0.000714877
         8           0.0343778            0.033168          0.00064607
         9           0.0323422           0.0330763         0.000580764
        10           0.0342106           0.0331897         0.000533651
        11           0.0333444           0.0332038         0.000485322
        12           0.0352408           0.0333735         0.000473637
        13           0.0328962           0.0333368         0.000438624
        14           0.0362874           0.0335476          0.00045512
        15           0.0339192           0.0335723         0.000425452
        16           0.0324146              0.0335         0.000404968
        17           0.0332642           0.0334861         0.000381384
        18           0.0331286           0.0334662         0.000360712
        19           0.0356386           0.0335806         0.000359391
        20           0.0364556           0.0337243         0.000369053
