#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1            0.694417            0.694417                   0
         2            0.716693            0.705555          0.00787568
         3            0.709466            0.706858          0.00535728
         4            0.701863             0.70561          0.00416098
         5            0.677152            0.699918          0.00608237
         6            0.623683            0.687212           0.0126579
         7            0.615554            0.676975           0.0144062
         8            0.646639            0.673183            0.013095
         9            0.665144             0.67229           0.0116704
        10            0.698605            0.674922           0.0107959
        11            0.670676            0.674536          0.00982139
        12            0.687015            0.675576          0.00905783
        13            0.686093            0.676385          0.00839713
        14            0.648129            0.674366          0.00803621
        15            0.686053            0.675146          0.00753814
        16            0.678214            0.675337          0.00706944
        17            0.678508            0.675524          0.00665605
        18            0.694058            0.676554          0.00636542
        19             0.70048            0.677813           0.0061537
        20            0.668386            0.677341          0.00586404
