#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1           0.0500778           0.0500778                   0
         2           0.0523772           0.0512275         0.000812961
         3           0.0465938           0.0496829          0.00137266
         4            0.049396           0.0496112          0.00103137
         5            0.055954           0.0508798          0.00140292
         6           0.0481336           0.0504221          0.00124151
         7           0.0456664           0.0497427          0.00123614
         8           0.0497532            0.049744          0.00108163
         9            0.046672           0.0494027          0.00101387
        10           0.0522914           0.0496915          0.00095275
        11           0.0481152           0.0495482         0.000876848
        12           0.0517214           0.0497293         0.000822266
        13           0.0506782           0.0498023         0.000762247
        14           0.0543134           0.0501245         0.000772911
        15           0.0509974           0.0501827         0.000723571
        16           0.0462868           0.0499392          0.00071815
        17            0.046925           0.0497619         0.000697451
        18           0.0470362           0.0496105         0.000674943
        19           0.0507744           0.0496718         0.000642193
        20           0.0528698           0.0498317         0.000629676
