#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1            0.148907            0.148907                   0
         2            0.144383            0.146645          0.00159933
         3            0.146521            0.146604          0.00106676
         4            0.142776            0.145647          0.00115196
         5            0.155715             0.14766           0.0020231
         6            0.130923            0.144871          0.00305398
         7            0.137707            0.143847          0.00278387
         8            0.144291            0.143903          0.00243644
         9            0.149286            0.144501          0.00223794
        10            0.149491               0.145          0.00206903
        11            0.144339             0.14494          0.00188181
        12            0.147689            0.145169          0.00173888
        13            0.147361            0.145338          0.00161327
        14            0.153136            0.145895           0.0015913
        15            0.151351            0.146258          0.00152623
        16            0.130705            0.145286          0.00171266
        17            0.141486            0.145063          0.00162645
        18            0.143024            0.144949          0.00154003
        19            0.144111            0.144905          0.00145961
        20            0.149805             0.14515          0.00140704
