#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1            0.899094            0.899094                   0
         2            0.905544            0.902319          0.00228063
         3            0.895593            0.900077          0.00237967
         4            0.863326            0.890889          0.00815446
         5            0.904423            0.893596          0.00695832
         6            0.876831            0.890802          0.00633479
         7            0.846389            0.884457          0.00799925
         8            0.875073            0.883284          0.00708483
         9            0.890273            0.884061          0.00634004
        10             0.90098            0.885753          0.00592749
        11            0.860065            0.883417          0.00583053
        12            0.873935            0.882627          0.00539793
        13            0.817483            0.877616          0.00692869
        14            0.888927            0.878424          0.00648072
        15             0.91222            0.880677          0.00642839
        16             0.90844            0.882412          0.00625642
        17            0.882008            0.882388          0.00588844
        18            0.888979            0.882755          0.00557268
        19            0.856808            0.881389          0.00544413
        20            0.898663            0.882253          0.00523999
