#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1            0.111794            0.111794                   0
         2            0.108394            0.110094          0.00120187
         3            0.108865            0.109684         0.000868252
         4              0.1079            0.109238         0.000757174
         5            0.112834            0.109957         0.000883537
         6            0.100614              0.1084          0.00160095
         7            0.110231            0.108662          0.00139344
         8            0.112859            0.109186          0.00131435
         9            0.107829            0.109035          0.00117693
        10            0.113915            0.109523          0.00115599
        11            0.110163            0.109582          0.00105236
        12            0.109963            0.109613         0.000965141
        13            0.116102            0.110112          0.00101176
        14            0.116184            0.110546          0.00102825
        15            0.111338            0.110599         0.000961059
        16            0.101347            0.110021          0.00106079
        17            0.111821            0.110127          0.00100366
        18            0.108997            0.110064         0.000949864
        19            0.106631            0.109883         0.000916892
        20             0.11813            0.110296         0.000959286
