#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1           0.0730318           0.0730318                   0
         2           0.0724374           0.0727346         0.000210152
         3           0.0648686           0.0701126          0.00214543
         4           0.0694726           0.0699526          0.00161503
         5            0.074302           0.0708225           0.0015082
         6           0.0629556           0.0695113          0.00173558
         7            0.067471           0.0692199          0.00151191
         8            0.069382           0.0692401          0.00132306
         9           0.0694932           0.0692682          0.00117635
        10           0.0710624           0.0694477          0.00107231
        11           0.0694306           0.0694461         0.000974831
        12           0.0720724            0.069665         0.000917834
        13           0.0707726           0.0697502         0.000851177
        14            0.076931           0.0702631         0.000932196
        15           0.0702474            0.070262          0.00087005
        16           0.0672018           0.0700708         0.000836431
        17            0.070121           0.0700737         0.000787234
        18           0.0647202           0.0697763         0.000797706
        19           0.0705008           0.0698144         0.000756632
        20           0.0736984           0.0700086         0.000743304
