#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1           0.0305498           0.0305498                   0
         2           0.0301862            0.030368         0.000128552
         3            0.027362            0.029366         0.000822606
         4           0.0290774           0.0292938         0.000620111
         5           0.0329808           0.0300312         0.000825287
         6           0.0274118           0.0295947         0.000794868
         7           0.0271502           0.0292455         0.000754133
         8           0.0304374           0.0293944         0.000674424
         9            0.028541           0.0292996         0.000606118
        10           0.0297042           0.0293401         0.000546855
        11            0.029469           0.0293518         0.000497267
        12           0.0308832           0.0294794         0.000471919
        13           0.0299192           0.0295132         0.000436829
        14           0.0319678           0.0296886         0.000439404
        15           0.0303164           0.0297304         0.000412099
        16            0.029017           0.0296858         0.000388748
        17           0.0300148           0.0297052         0.000366362
        18            0.029969           0.0297198         0.000346301
        19           0.0323564           0.0298586          0.00035479
        20           0.0324064            0.029986         0.000359193
