#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1            0.290255            0.290255                   0
         2            0.284114            0.287185          0.00217138
         3            0.320598            0.298322          0.00920847
         4             0.29676            0.297932          0.00691463
         5            0.298944            0.298134          0.00553466
         6            0.285874            0.296091          0.00497513
         7            0.283039            0.294226          0.00460056
         8            0.279129            0.292339          0.00439553
         9            0.284691            0.291489          0.00398843
        10            0.313999             0.29374          0.00417676
        11            0.294406            0.293801          0.00379749
        12            0.300279            0.294341          0.00351919
        13            0.287464            0.293812          0.00328801
        14            0.313781            0.295238          0.00334829
        15            0.296602            0.295329           0.0031263
        16             0.27389            0.293989          0.00320521
        17            0.298609            0.294261          0.00302817
        18            0.301668            0.294672          0.00288776
        19            0.299188             0.29491          0.00274553
        20            0.286929            0.294511          0.00263709
