#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1            0.461853            0.461853                   0
         2            0.430884            0.446368           0.0109494
         3            0.486968            0.459902           0.0132433
         4            0.438857             0.45464           0.0109277
         5             0.44787            0.453286          0.00882564
         6            0.430184            0.449436          0.00815148
         7            0.420145            0.445251          0.00798913
         8             0.41598            0.441592          0.00778337
         9            0.418066            0.438978          0.00734441
        10             0.45278            0.440359          0.00673841
        11            0.426421            0.439092          0.00624382
        12            0.468251            0.441521          0.00617827
        13            0.443635            0.441684          0.00570516
        14            0.471016            0.443779          0.00566931
        15            0.456575            0.444632          0.00535515
        16            0.450134            0.444976          0.00503148
        17            0.452756            0.445434          0.00475628
        18            0.456854            0.446068          0.00453416
        19            0.441607            0.445833          0.00430159
        20            0.443532            0.445718          0.00408805
