#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1           0.0386036           0.0386036                   0
         2             0.03921           0.0389068         0.000214395
         3           0.0344852           0.0374329          0.00121187
         4            0.037044           0.0373357         0.000912791
         5           0.0417262           0.0382138          0.00107242
         6           0.0361122           0.0378635         0.000949163
         7           0.0346536            0.037405         0.000917678
         8           0.0392372            0.037634         0.000831057
         9            0.034424           0.0372773         0.000811652
        10            0.039209           0.0374705         0.000753123
        11           0.0376252           0.0374846         0.000684788
        12            0.039019           0.0376124          0.00063955
        13           0.0373892           0.0375953         0.000590584
        14           0.0407146           0.0378181         0.000588931
        15            0.037933           0.0378257         0.000549719
        16             0.03688           0.0377666          0.00051853
        17           0.0370536           0.0377247         0.000489721
        18           0.0373334           0.0377029         0.000462997
        19            0.040046           0.0378263         0.000454755
        20           0.0406374           0.0379668         0.000453219
