#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.582937   -0.582937           0
           2   -0.582236   -0.582586 0.000248053
           3   -0.583266   -0.582813 0.000248191
           4    -0.58225   -0.582672 0.000222557
           5   -0.583452   -0.582828  0.00022614
           6   -0.582728   -0.582811 0.000189069
           7   -0.582887   -0.582822 0.000162369
           8   -0.582306   -0.582758  0.00015438
           9   -0.582657   -0.582746 0.000137629
          10   -0.583246   -0.582796 0.000132609
          11   -0.582653   -0.582783 0.000121194
          12   -0.583039   -0.582805 0.000112955
          13   -0.582018   -0.582744 0.000119393
          14   -0.582791   -0.582747 0.000110912
          15   -0.582908   -0.582758 0.000104033
          16   -0.582687   -0.582754 9.76264e-05
          17   -0.582525    -0.58274 9.28073e-05
          18   -0.582389   -0.582721 8.96767e-05
          19   -0.582436   -0.582706 8.61963e-05
          20    -0.58337   -0.582739 8.80529e-05
