#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.461718   -0.461718           0
           2   -0.462331   -0.462024  0.00021694
           3   -0.461978   -0.462009 0.000145187
           4   -0.462254    -0.46207 0.000121104
           5   -0.462202   -0.462096  9.9736e-05
           6   -0.461874   -0.462059 8.97189e-05
           7   -0.462651   -0.462144 0.000109722
           8   -0.461891   -0.462112 0.000100454
           9   -0.462258   -0.462129  9.0579e-05
          10   -0.462564   -0.462172 9.13913e-05
          11   -0.462498   -0.462202 8.77545e-05
          12   -0.462169   -0.462199 8.04834e-05
          13     -0.4618   -0.462168 7.99198e-05
          14   -0.462687   -0.462205 8.23575e-05
          15   -0.462642   -0.462235  8.1849e-05
          16   -0.461764   -0.462205 8.18541e-05
          17   -0.462394   -0.462216 7.77931e-05
          18   -0.461737    -0.46219 7.78901e-05
          19   -0.461973   -0.462178 7.46217e-05
          20   -0.461926   -0.462166 7.19515e-05
