#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             4.40714             4.40714                   0
         2             4.39423             4.40068          0.00456461
         3             4.36326             4.38821           0.0106305
         4              4.4442              4.4022           0.0145091
         5              4.4311             4.40798           0.0127061
         6             4.41329             4.40887           0.0106191
         7             4.34575             4.39985           0.0123508
         8             4.48651             4.41068            0.014814
         9             4.37131             4.40631           0.0137989
        10             4.39637             4.40531           0.0124547
        11             4.41814             4.40648            0.011377
        12              4.4025             4.40615           0.0104337
        13             4.38815             4.40476          0.00972257
        14              4.5192             4.41294           0.0119813
        15             4.43528             4.41443           0.0112748
        16             4.43939             4.41599           0.0106775
        17              4.4058             4.41539           0.0100662
        18             4.43058             4.41623          0.00954227
        19             4.30175             4.41021           0.0107757
        20             4.42401              4.4109            0.010259
