#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.294675            0.294675                   0
         2            0.292467            0.293571         0.000780793
         3            0.293862            0.293668         0.000526527
         4            0.292093            0.293274         0.000521739
         5            0.293633            0.293346         0.000422292
         6            0.292567            0.293216         0.000371343
         7            0.293937            0.293319         0.000332257
         8            0.292904            0.293267         0.000294752
         9            0.293795            0.293326         0.000267784
        10            0.294141            0.293407         0.000253109
        11            0.293456            0.293412         0.000230138
        12            0.292285            0.293318         0.000229303
        13            0.295605            0.293494         0.000270883
        14            0.292523            0.293424         0.000260263
        15            0.292644            0.293372         0.000248058
        16            0.295744            0.293521         0.000273271
        17            0.291299             0.29339         0.000286755
        18             0.29165            0.293293          0.00028665
        19            0.290955             0.29317         0.000296816
        20            0.291828            0.293103         0.000289467
