#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1             0.19762             0.19762                   0
         2             0.19678              0.1972         0.000297075
         3            0.196254            0.196885         0.000324976
         4            0.195302            0.196489         0.000420544
         5            0.196761            0.196543         0.000339947
         6             0.19557            0.196381         0.000319659
         7            0.196977            0.196466         0.000285099
         8            0.195233            0.196312         0.000288148
         9            0.195375            0.196208         0.000274312
        10            0.197504            0.196338         0.000275796
        11            0.194439            0.196165         0.000299905
        12            0.195665            0.196123         0.000277792
        13            0.196974            0.196189          0.00026402
        14            0.196733            0.196228         0.000248011
        15            0.196151            0.196223         0.000231529
        16            0.197282            0.196289         0.000226331
        17            0.195068            0.196217         0.000224121
        18            0.196485            0.196232         0.000212165
        19            0.196079            0.196224         0.000201152
        20            0.196663            0.196246         0.000192289
