#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             2.18601             2.18601                   0
         2             2.15028             2.16815           0.0126322
         3             2.18201             2.17277          0.00922845
         4             2.18873             2.17676          0.00773599
         5             2.22033             2.18547          0.00995245
         6             2.17482              2.1837          0.00845059
         7             2.18595             2.18402          0.00724947
         8             2.17212             2.18253          0.00649408
         9             2.16995             2.18113          0.00592102
        10             2.17204             2.18022          0.00539826
        11             2.18638             2.18078          0.00493639
        12             2.18004             2.18072          0.00452542
        13             2.16412             2.17944          0.00435374
        14             2.20442             2.18123          0.00439299
        15             2.18393             2.18141           0.0041038
        16             2.21089             2.18325          0.00424086
        17             2.16767             2.18233          0.00408922
        18             2.20626             2.18366          0.00407227
        19              2.1569             2.18225          0.00409425
        20             2.18801             2.18254          0.00389963
